Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,9660,4055,7602,20903,19095,10441,10028,9380,14641,1089,2401,5493
China,3807,1368,3841,2527,1570,1064,2210,1535,3915,1070,1961,3343
India,1298,867,956,1090,4392,451,370,279,721,8,343,1496
United Arab Emirates,929,55,237,11872,5126,0,4441,292,466,0,6,436
"Iran, Islamic Republic of",819,492,185,483,781,5085,1279,5369,3187,0,76,144
Japan,36,0,45,17,0,1,0,0,2,0,7,22
Pakistan,765,691,1136,1834,3232,795,1216,860,4679,2,3,21
Thailand,265,181,193,124,32,5,0,0,60,0,0,12
United States of America,0,0,47,530,3,0,5,16,5,0,0,12
Lithuania,0,0,0,0,0,0,0,0,0,0,0,4
United Kingdom,260,45,209,172,71,3,0,0,6,0,0,2
Türkiye,432,216,227,981,1170,2893,128,263,991,0,1,1
Marshall Islands,0,0,0,0,0,5,0,0,0,0,0,0
Turkmenistan,8,0,0,0,173,0,0,0,0,0,0,0
Argentina,0,0,7,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,100,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,1,0,0,0,0,0
Canada,23,96,0,54,0,0,72,0,0,0,0,0
Sri Lanka,0,0,0,11,5,18,0,0,0,0,0,0
France,135,0,3,0,162,0,0,0,11,0,0,0
Germany,101,0,60,217,234,0,0,81,3,0,0,0
"Hong Kong, China",20,0,0,1,2,0,0,0,0,6,0,0
Indonesia,388,2,240,123,316,58,69,57,407,0,0,0
Italy,216,9,8,8,9,0,0,0,1,0,0,0
"Korea, Republic of",0,0,0,36,0,0,0,0,0,0,0,0
Malaysia,0,0,1,48,5,0,89,0,78,0,0,0
"Taipei, Chinese",0,0,0,0,0,12,0,0,3,0,0,0
Poland,0,0,0,0,7,1,0,0,0,0,0,0
Russian Federation,26,0,61,0,0,0,0,0,4,0,0,0
Saudi Arabia,48,10,13,0,0,0,0,0,0,2,2,0
Singapore,83,0,9,0,0,0,76,47,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,17,24,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,1,0
Spain,0,0,0,0,0,0,33,0,11,0,0,0
Switzerland,0,0,0,0,35,0,0,0,0,0,0,0
Tajikistan,0,0,117,676,1770,51,14,566,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,20,0,0,0
Egypt,0,25,0,0,0,0,0,0,33,0,0,0
Uzbekistan,0,0,5,0,0,0,25,0,15,0,0,0
HHI,0.285682379,0.248878806,0.419996011,0.476505432,0.250796297,0.421699967,0.36199758,0.448422956,0.33838992,0.968521553,0.744635446,0.530416996
