Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,0,0,0,0,0,0,5417,9659,21985
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,1819,3302,10854
Pakistan,0,0,0,0,0,0,0,0,0,1186,2634,7752
Türkiye,0,0,0,0,0,0,0,0,0,1005,1571,566
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,553
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,551
Uzbekistan,0,0,0,0,0,0,0,0,0,186,482,404
India,0,0,0,0,0,0,0,0,0,1009,1177,313
United Arab Emirates,0,0,0,0,0,0,0,0,0,91,139,249
Turkmenistan,0,0,0,0,0,0,0,0,0,93,276,191
United States of America,0,0,0,0,0,0,0,0,0,0,1,131
Malaysia,0,0,0,0,0,0,0,0,0,0,0,106
Tajikistan,0,0,0,0,0,0,0,0,0,19,0,98
Italy,0,0,0,0,0,0,0,0,0,0,0,93
Germany,0,0,0,0,0,0,0,0,0,0,0,35
Indonesia,0,0,0,0,0,0,0,0,0,0,0,31
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,25
Russian Federation,0,0,0,0,0,0,0,0,0,0,11,21
United Kingdom,0,0,0,0,0,0,0,0,0,0,3,6
China,0,0,0,0,0,0,0,0,0,1,5,4
Ukraine,0,0,0,0,0,0,0,0,0,7,55,2
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,1,0
Aruba,0,0,0,0,0,0,0,0,0,0,1,0
Eswatini,0,0,0,0,0,0,0,0,0,0,1,0
HHI,0,0,0,0,0,0,0,0,0,0.241305183,0.306933212,0.496346549
