Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,0,0,0,0,0,0,7518,7155,3779
Türkiye,0,0,0,0,0,0,0,0,0,5737,4440,3191
China,0,0,0,0,0,0,0,0,0,660,866,305
Russian Federation,0,0,0,0,0,0,0,0,0,1032,1779,219
Canada,0,0,0,0,0,0,0,0,0,0,0,19
Italy,0,0,0,0,0,0,0,0,0,61,40,18
Lithuania,0,0,0,0,0,0,0,0,0,0,0,17
Slovakia,0,0,0,0,0,0,0,0,0,0,5,9
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,26,26,0
United States of America,0,0,0,0,0,0,0,0,0,2,0,0
HHI,0,0,0,0,0,0,0,0,0,0.628820848,0.458226898,0.759294144
