Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,20275,11033,9901,22734,48786,26593,43662,52544
China,3659,1488,996,3117,20133,6422,28623,35573
South Africa,15471,7156,6103,12473,16540,6929,13604,10166
United Kingdom,0,0,283,4600,6485,5112,217,4308
Finland,0,0,0,0,0,0,0,582
India,386,2,0,268,227,84,0,522
United Arab Emirates,8,0,1,0,63,0,56,474
Zambia,679,1504,998,2051,4339,3291,1045,441
Poland,0,0,0,0,0,0,0,144
Sweden,0,0,0,0,0,0,0,138
"Tanzania, United Republic of",0,0,0,0,0,0,0,130
Australia,2,0,0,0,6,0,0,48
Belgium,3,2,1,3,0,0,7,14
Kenya,0,0,0,0,0,0,0,4
Bulgaria,0,0,0,0,0,0,110,0
Canada,0,0,0,0,0,3,0,0
Chile,0,878,1509,206,980,4741,0,0
France,0,0,7,0,11,10,0,0
Japan,0,0,0,13,0,0,0,0
Lebanon,1,0,0,2,0,0,0,0
Morocco,0,0,0,1,0,0,0,0
Namibia,0,0,1,0,0,0,0,0
Netherlands,2,0,0,0,0,2,0,0
Türkiye,0,0,1,0,2,0,0,0
United States of America,64,3,0,0,0,0,0,0
HHI,0.685656773,0.487197813,0.490131352,0.426051491,0.353441758,0.187828689,0.559915621,0.597526183
