Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,0,557,1069,1149,6267,7670,14317,2807,6520,6851,10494,19003
Pakistan,0,457,80,220,3775,3954,7784,735,4224,6121,9357,18084
Türkiye,0,0,0,12,194,139,0,90,13,42,49,262
China,0,0,248,481,833,403,1907,518,568,394,915,209
"Iran, Islamic Republic of",0,100,389,285,1037,2588,3636,1240,1358,247,100,144
Jordan,0,0,0,0,0,0,0,0,12,0,0,97
Uzbekistan,0,0,0,0,0,0,0,0,0,1,5,81
Azerbaijan,0,0,0,0,12,0,71,3,0,0,0,27
Tajikistan,0,0,0,3,0,0,0,0,33,0,0,26
India,0,0,57,0,97,215,67,82,54,17,30,22
"Korea, Republic of",0,0,0,0,0,0,0,12,0,0,0,17
Iraq,0,0,121,21,12,34,0,0,0,14,26,11
Kazakhstan,0,0,0,0,0,0,64,0,0,0,0,6
Norway,0,0,0,0,0,0,0,0,0,0,0,4
Turkmenistan,0,0,32,0,33,0,0,0,2,0,0,3
Canada,0,0,0,0,23,1,0,0,0,2,0,3
Japan,0,0,0,0,0,0,0,0,0,1,1,3
United Arab Emirates,0,0,124,0,130,268,116,27,171,3,0,3
Australia,0,0,0,0,0,0,23,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,44,0,0,0
Czech Republic,0,0,0,0,0,0,0,3,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,1,0,0
"Hong Kong, China",0,0,0,0,11,0,235,0,0,0,0,0
Italy,0,0,19,128,110,68,413,92,29,8,0,0
Malaysia,0,0,0,0,0,0,0,0,5,0,0,0
Russian Federation,0,0,0,0,0,0,0,1,0,0,4,0
Saudi Arabia,0,0,0,0,0,0,0,0,4,0,0,0
Spain,0,0,0,0,0,0,0,2,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,3,0
Egypt,0,0,0,0,0,0,0,0,0,0,1,0
United Kingdom,0,0,0,0,0,0,0,0,5,0,0,0
United States of America,0,0,0,0,0,0,0,2,0,0,0,0
HHI,0,0.453315124,0.182204266,0.252556087,0.494203997,0.430484963,0.437955611,0.375191672,0.572409647,0.853862172,0.851073476,0.936445193
