Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,1686,1907,1729,1784,2494
Viet Nam,30,49,165,282,594
Argentina,0,0,0,0,484
United States of America,221,244,328,536,434
Singapore,566,290,281,216,156
Belgium,0,0,191,110,127
China,2,263,74,107,126
Honduras,0,0,0,0,122
Peru,0,0,0,0,92
Dominican Republic,419,500,254,138,75
Comoros,0,0,0,0,58
Uganda,0,0,0,0,52
Netherlands,0,5,26,41,38
United Arab Emirates,0,0,0,4,37
Mexico,162,183,104,144,36
France,187,128,24,50,27
Spain,4,0,0,15,8
Ukraine,0,0,51,33,8
Türkiye,0,0,0,16,7
Colombia,0,0,0,0,4
Poland,0,6,0,0,4
India,0,77,0,0,2
Canada,9,4,7,2,1
Bosnia and Herzegovina,0,0,6,0,0
Brazil,36,85,30,22,0
Georgia,0,0,0,4,0
Germany,0,26,22,0,0
"Hong Kong, China",0,37,77,0,0
Indonesia,30,0,80,63,0
Italy,0,1,4,0,0
Jamaica,5,8,2,0,0
Japan,0,0,3,0,0
United Kingdom,13,0,0,0,0
HHI,0.256900286,0.175877916,0.145519496,0.196254948,0.204876043
