Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,5736,7917,13423,6438,13507,20907,15401,7280,17267,10685,12857,5635
China,197,2247,10247,4302,7347,16310,7744,3425,3556,8239,9941,4545
United Kingdom,0,165,0,0,0,0,130,297,1391,231,816,343
"Iran, Islamic Republic of",565,3068,676,110,0,1266,1873,1098,1068,698,726,286
India,216,0,136,181,473,285,616,635,52,24,156,240
Pakistan,1726,359,742,412,3262,1807,1763,995,9182,1211,994,132
Türkiye,0,0,192,0,288,0,798,3,0,0,81,58
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,28
United States of America,0,0,0,0,0,0,0,0,41,0,0,2
Turkmenistan,0,0,0,0,0,247,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,289,0,0,0
Belgium,2766,1366,679,600,0,242,2070,238,1105,0,0,0
Finland,0,0,0,0,96,79,180,0,0,0,0,0
Germany,0,0,176,0,93,0,229,233,0,0,0,0
"Hong Kong, China",0,229,0,110,0,0,0,0,0,0,3,0
Iraq,0,0,110,723,510,671,0,0,0,0,0,0
Italy,0,0,0,0,9,0,0,0,93,282,127,0
Netherlands,0,0,0,0,0,0,0,0,1,0,0,0
Russian Federation,0,0,0,0,58,0,0,0,0,0,0,0
Saudi Arabia,266,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,2,0,0,0
Syrian Arab Republic,0,484,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,464,0,1372,0,0,356,488,0,12,0
HHI,0.291886285,0.223938959,0.654764389,0.498351861,0.424388612,0.672334279,0.326370127,0.288784221,0.414771553,0.633031351,0.672798151,0.709159815
