Exporters,Imported value in 2002
World,66
China,14
Fiji,12
Indonesia,12
United Kingdom,11
Australia,5
Thailand,5
"Hong Kong, China",3
New Zealand,1
India,1
Singapore,1
HHI,0.109803323
