Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,3011,4456,4471,8359,5872,7686,6178,10690,13785,12123,11497,12567,4608,9435,11959,13419,13920,15572,17312,19434
China,0,58,32,32,102,57,352,772,737,2353,1252,1634,235,1955,2316,2124,1935,5802,5392,4681
India,35,151,52,361,520,373,338,651,323,404,508,348,312,518,519,658,1390,863,1183,3430
Germany,0,192,371,221,432,631,133,283,360,760,886,541,442,571,1708,1564,1576,574,701,1635
Japan,6,8,3,6,58,74,1,1298,10,30,0,330,19,446,256,2,174,27,638,1302
Belgium,1006,1651,1743,4143,2390,2549,1529,3959,2647,2619,4452,2282,1082,1721,2327,1653,1478,2312,1461,1217
Türkiye,0,0,0,0,0,0,245,3,0,0,0,3,12,0,5,6,5,19,4,747
France,616,880,439,932,798,656,429,556,1764,1552,1084,3025,890,978,1252,1419,1644,685,1161,731
United States of America,194,55,121,40,406,158,78,29,3756,433,497,496,32,395,267,1220,1119,403,1011,687
Italy,157,57,255,95,45,334,76,361,442,669,228,239,209,117,253,437,933,209,358,509
United Kingdom,148,77,113,7,49,39,138,160,78,64,152,115,7,41,75,464,171,170,421,457
Denmark,36,188,350,1210,144,139,28,213,1312,331,703,252,6,501,1262,705,910,726,238,449
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,285,58,0,62,85,0,112,392
United Arab Emirates,135,129,305,231,185,233,114,48,95,206,113,48,3,115,131,205,183,268,351,330
South Africa,217,584,202,457,119,824,51,139,493,1578,149,855,30,141,117,83,23,243,128,298
Malaysia,0,0,0,0,0,0,0,32,17,12,4,48,0,95,15,1,44,43,2,293
Uganda,0,1,2,19,12,9,125,30,109,88,27,3,0,123,90,91,95,170,114,282
Switzerland,42,56,37,21,55,65,434,383,424,27,93,205,6,93,140,324,481,163,124,250
Netherlands,108,156,89,209,341,521,26,68,40,30,872,1460,60,495,132,504,507,538,335,208
"Hong Kong, China",0,0,1,0,0,3,16,41,0,26,57,54,59,4,131,222,187,229,144,190
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,182
Egypt,0,0,0,6,27,10,137,3,12,1,9,19,0,2,25,208,68,150,64,169
Kenya,42,130,48,108,70,263,153,169,274,280,91,250,0,366,162,928,384,595,355,154
Pakistan,0,0,0,0,0,0,0,0,0,3,1,2,7,19,8,70,25,55,170,125
Australia,0,0,160,0,0,36,68,0,6,1,1,0,25,2,0,28,74,301,346,119
"Taipei, Chinese",0,0,0,0,0,0,0,2,6,2,0,41,8,0,1,22,47,8,90,96
Thailand,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,27,67,0,77
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,73
Canada,0,23,31,0,0,446,304,1,272,7,18,7,26,70,6,38,5,20,5,72
Austria,34,0,0,6,0,0,0,0,0,0,0,15,6,0,0,0,0,87,4,54
Spain,0,0,0,0,0,109,141,28,0,36,0,124,53,0,1,30,130,0,82,31
Eswatini,0,11,0,0,0,0,0,2,105,0,0,50,1,44,0,7,0,69,2,30
United States Minor Outlying Islands,0,0,0,11,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,26
Sweden,1,0,92,3,8,5,5,56,12,23,146,24,11,25,78,10,44,1,13,21
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,18
"Korea, Republic of",179,28,0,0,0,0,0,0,0,0,1,17,11,0,566,25,16,97,114,14
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
Rwanda,0,0,2,0,0,0,155,0,1,0,64,8,0,98,5,0,9,23,15,11
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,10
Portugal,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,24,2,8
Singapore,0,0,0,0,0,0,0,0,2,0,0,0,88,0,14,27,3,0,51,8
"Tanzania, United Republic of",36,5,4,0,6,140,249,18,274,3,26,2,0,1,53,20,6,55,541,7
Poland,0,0,0,0,0,0,0,1129,0,0,0,0,52,206,0,2,0,7,21,5
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,0,4
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,3,0,8,4
Indonesia,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,30,3
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,3,1,7,2
Côte d'Ivoire,0,0,0,0,1,0,0,0,0,0,0,2,147,0,7,0,0,2,0,2
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,2
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Cameroon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,8,1
Falkland Islands (Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Nauru,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Afghanistan,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Andorra,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Brazil,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Congo, Democratic Republic of the",0,0,0,1,54,0,0,0,0,7,0,3,0,13,0,0,1,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0
Dominica,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,1,0,0,18,0,0,0,22,65,0,36,0,0,0,24,0,365,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,8,0,0,2,0,25,0,0,0,12,9,0,0
Georgia,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,5,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,21,89,0,0,0
Greece,16,0,0,0,0,0,7,14,0,1,0,0,107,0,0,0,0,0,76,0
Greenland,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,5,6,0,0,0,0,184,0,0,0,0,0,0,125,1,0,0,0
Jordan,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Lebanon,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
Luxembourg,0,0,0,0,0,0,0,1,4,0,5,20,0,0,0,0,12,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0
Mauritius,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
