Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,97,49,21,63,212,2326,17859,22073,24545,31813,44993,46076,33418,36965,34163,37745,39682,32489
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,137,585,2792,14532,19336,13868
Netherlands,0,0,0,0,0,0,0,0,0,0,20689,0,0,237,246,3028,15005,10851
United Kingdom,0,0,0,0,0,1205,9616,0,752,16520,13718,40216,29793,28634,29472,19306,3568,5514
Papua New Guinea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1226
New Zealand,0,0,0,0,0,0,0,0,0,2,26,6,146,51,199,219,543,673
Australia,97,20,1,15,104,129,31,3504,250,360,239,335,1407,1077,891,214,312,252
Belgium,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,105
Nauru,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,40,124,0
China,0,0,0,0,0,0,0,81,0,0,1144,1807,604,5743,458,5,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,20,0,0,0,0,0,0,0,0,19,173,659,0
"Taipei, Chinese",0,0,0,0,0,0,97,115,0,0,0,338,837,569,0,0,0,0
Vanuatu,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,56,0,0,68,0,40,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,77,8,0,0,0,0,0
Singapore,0,16,20,48,108,20,312,728,0,0,0,24,243,69,0,0,0,0
Spain,0,0,0,0,0,857,6810,17643,23543,14863,9176,3230,0,0,0,132,133,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0
United States of America,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
HHI,1,0.020891041,0.841480405,0.311150648,0.00042969,0.419506781,0.456840158,0.666427807,0.904697095,0.490691349,0.305088538,0.823290315,0.839699138,0.676579536,0.800646557,0.481232131,0.449726573,0.308129108
