Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,151081,95103,74878,77140,56817,50111,52820,103772
Namibia,72657,37880,29392,35143,26609,11776,24799,39682
Mauritania,3788,11732,2079,9196,7676,13393,10278,34885
China,8611,6073,4578,2766,3895,5180,6497,7536
Norway,18975,10771,15610,16774,14453,8708,6453,7218
Morocco,1890,3048,740,3,52,653,406,5412
Angola,32548,18749,14148,7455,144,108,357,2994
Oman,70,54,63,0,0,135,14,2446
Uganda,454,490,358,241,592,380,293,756
Zambia,946,546,505,377,266,722,815,662
Brazil,905,592,621,146,119,0,118,338
Viet Nam,1689,990,749,657,692,461,57,296
India,156,10,15,423,34,82,264,168
South Africa,3246,915,2602,213,70,422,623,163
Rwanda,54,62,706,4,225,133,1,142
United Arab Emirates,0,12,0,0,43,40,297,141
Kenya,1341,929,277,206,94,94,183,139
Guinea-Bissau,0,0,0,0,0,5466,0,108
Congo,0,0,0,0,0,0,0,104
Uruguay,302,65,40,0,9,0,94,88
Spain,0,0,133,0,1,24,192,78
Netherlands,604,227,202,93,70,139,23,70
Italy,11,97,278,63,123,174,257,65
Belgium,364,0,33,3,8,13,90,57
France,591,771,687,412,4,31,6,57
Somalia,0,0,0,9,17,9,26,36
"Tanzania, United Republic of",391,283,211,190,77,57,7,36
"Taipei, Chinese",0,0,0,0,0,0,0,26
Malaysia,458,241,112,51,142,93,33,24
Burundi,0,0,0,1,6,16,12,21
Sudan,0,0,0,0,0,0,0,13
Lebanon,0,0,0,0,0,0,2,3
Mozambique,0,0,10,0,0,0,0,3
Poland,0,0,1,1,0,0,2,3
Nigeria,0,0,0,0,0,0,0,2
Canada,19,9,0,0,7,0,0,1
Singapore,0,0,1,1,1,0,0,0
Argentina,300,408,249,0,106,87,39,0
Denmark,0,0,91,274,0,3,0,0
Faroe Islands,0,0,0,0,0,0,569,0
Gabon,0,0,0,0,0,0,1,0
Germany,42,0,0,0,0,0,0,0
Ghana,0,0,0,0,2,2,0,0
Iceland,0,2,0,76,0,1,0,0
Indonesia,0,0,0,0,0,2,0,0
Ireland,0,0,36,0,0,0,0,0
Japan,424,0,0,0,0,0,0,0
"Korea, Republic of",29,0,0,0,0,0,0,0
Madagascar,0,0,0,0,9,0,0,0
New Zealand,0,0,59,0,0,37,0,0
Portugal,51,84,209,2270,1272,93,0,0
Senegal,76,0,0,0,0,1561,0,0
Switzerland,32,0,0,0,0,0,0,0
Thailand,0,63,86,90,0,5,0,0
Ukraine,0,0,0,0,0,13,0,0
United Kingdom,52,0,0,0,0,0,0,0
United States of America,6,0,0,0,0,0,9,0
HHI,0.448734448,0.357063801,0.379788682,0.420296858,0.457354831,0.308646154,0.438399551,0.426035786
