Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,108,21,9,59,200,5573,1117,890
South Africa,38,2,1,5,1,28,425,501
China,49,10,4,23,159,5518,645,317
Belgium,4,0,0,11,7,10,16,32
Lebanon,0,0,0,0,0,0,0,14
France,0,3,0,0,3,0,1,8
United Arab Emirates,5,2,3,12,1,3,12,6
United States of America,0,0,0,0,0,10,1,4
Zambia,0,0,0,0,0,0,2,4
"Tanzania, United Republic of",1,1,0,0,0,0,2,3
Canada,0,0,0,0,0,0,0,1
Germany,0,4,0,1,6,2,1,0
Ireland,0,0,0,0,2,0,0,0
Italy,0,0,0,1,0,0,0,0
"Taipei, Chinese",0,0,0,1,0,0,0,0
Nigeria,0,0,0,0,4,0,1,0
India,0,0,0,4,16,3,6,0
Sweden,0,0,0,0,0,0,5,0
Switzerland,9,0,0,0,0,0,0,0
United Kingdom,2,0,1,0,0,0,0,0
HHI,0.330510507,0.241625053,0.154700538,0.212074079,0.701241545,0.984160624,0.566719889,0.513625853
