Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,36336,36790,47655,52108,67104,36500,47516,61089,91824,90860,91399,59247,44923,46065,42178,58195,52125,49286,70496,49677
Togo,386,542,2325,3288,5527,1133,3220,6459,16116,20446,26518,1882,16913,15276,13632,18989,17333,4829,2218,14039
Spain,4680,3194,1524,1210,2864,1972,2288,2876,5200,7818,9996,28840,13814,9897,4522,5859,3431,5899,7912,11876
Türkiye,2305,0,0,0,0,344,2281,1960,7566,16574,9185,5042,36,88,4971,5216,9276,23553,12276,8705
Egypt,105,3708,36,113,164,165,219,187,253,327,159,224,143,126,101,46,75,289,14156,3478
Senegal,1516,2481,1250,1904,2708,3105,3215,5502,7021,9427,8963,8842,3652,4567,3667,2605,2479,3287,2462,2566
Algeria,0,0,0,0,0,0,0,0,11,20,32,40,24,15,6,9,34,2038,5833,2213
Saudi Arabia,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3765,2137
United Arab Emirates,0,0,0,0,0,0,0,0,4,0,2182,14,12,31,49,0,0,1623,4345,1226
Tunisia,121,217,201,187,264,333,294,251,384,391,356,407,581,697,828,806,3134,1502,3564,819
Ghana,0,13,2,6,140,22,31,86,452,855,718,142,215,0,92,284,1897,1007,1533,779
France,450,338,426,412,466,533,542,2449,1198,368,566,362,412,296,2686,2780,2588,277,921,718
Morocco,19,20,0,999,0,0,0,0,13,8,49,4426,147,136,165,120,338,1875,1832,420
China,1,34,10,2372,3044,24,147,5033,613,53,135,366,27,182,340,1149,173,47,47,249
Switzerland,0,1779,0,0,3745,0,7,920,0,0,0,0,0,0,0,0,0,9,2670,219
India,1027,6,2118,6,0,13,41,188,91,228,207,278,487,316,561,647,237,275,46,94
Nigeria,41,38,23,33,19,35,39,18,18,13,27,59,39,140,13,15,19,35,25,55
South Africa,131,45,0,0,7,10,49,1,30,7,34,40,62,25,0,0,0,10,0,33
Italy,75,95,54,51,15,34,39,24,53,61,54,64,18,26,309,53,80,103,36,20
Lebanon,0,0,0,1,1,3,1,1,3,4,0,1,14,80,2,17,14,8,7,9
Belgium,2349,4791,3015,57,62,45,46,258,935,337,1221,10,46,30,16,32,12,26,26,8
United Kingdom,3,4,29,4,57,19,88,2,58,10,6,57,0,20,0,0,3,1,1,7
Germany,2415,2,2,3,0,0,47,0,86,5,9,4,36,0,0,0,0,0,0,6
Netherlands,0,31,0,0,0,0,0,0,17,1,29,20,32,44,16,4,0,0,0,1
Gibraltar,0,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"Korea, Democratic People's Republic of",0,0,2700,0,5678,359,4850,4846,10024,0,0,0,2375,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia, Plurinational State of",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,5,0,0,0,162,579,0,0,0,0
Canada,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,12,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,2337,0,0,0,0,0,5,0,0,0,0,0
Czech Republic,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,5737,323,337,0,0,21315,11242,2816,0,2344,2485,2613,4674,0,0,0
