Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,228497,161194,151504,143267,197215,159359,222387,240542
Russian Federation,73005,57085,51357,62073,77403,59236,133744,61964
Argentina,3601,4971,11303,10406,20122,13889,9946,54225
India,481,507,422,225,2235,5169,12677,26434
Germany,24774,9318,0,0,5919,7989,5105,22390
Poland,2798,0,4709,0,0,0,0,21690
France,17840,26269,4658,4455,12875,12035,18001,14212
Lithuania,39,0,0,0,3688,7263,4851,12928
Thailand,52701,30195,23129,31036,29914,20348,10460,9732
Pakistan,5833,6656,5572,4177,5608,3903,2392,5746
China,96,2181,6020,6140,8238,10331,10897,5160
Zambia,2096,1548,1697,2134,922,1175,1580,1710
Uganda,3370,1844,924,1413,1257,1839,497,1262
Japan,0,0,0,0,0,0,4445,959
Kenya,34,435,240,174,0,12,136,619
South Africa,9914,1075,1326,585,599,834,739,393
Rwanda,1680,299,56,270,57,175,471,308
Angola,275,271,100,254,24,0,64,221
Zimbabwe,0,0,125,0,403,261,534,179
Viet Nam,4820,72,19,88,74,1130,39,108
"Tanzania, United Republic of",1020,67,1594,68,221,32,3157,95
Spain,0,0,0,0,16,0,0,87
Belgium,85,68,125,87,56,48,15,21
Türkiye,2,0,3322,0,0,0,3,21
Greece,0,0,0,0,0,1,7,16
Myanmar,0,0,0,0,1590,714,769,12
Brazil,75,6,0,57,161,142,4,11
United Arab Emirates,316,1751,1170,457,205,217,27,11
Italy,1,90,482,142,46,1,2,8
United States of America,117,2547,15689,18,17786,4772,277,8
Lebanon,8,9,6,20,12,11,10,6
Netherlands,0,3,11,0,1,9,32,3
Australia,0,0,0,0,0,0,0,1
Bangladesh,0,0,0,0,0,0,0,1
"Korea, Democratic People's Republic of",0,0,16,0,0,0,0,0
Bulgaria,3,0,0,0,0,0,0,0
Burundi,4,0,0,0,0,0,0,0
Cambodia,0,25,0,0,0,0,0,0
Canada,3843,3375,0,0,4,0,2,0
Congo,0,0,15,0,0,0,0,0
Cyprus,0,0,0,0,0,0,7,0
Czech Republic,0,13,0,0,0,3912,0,0
Denmark,0,0,31,2,0,0,0,0
Grenada,0,0,6,0,0,0,0,0
"Hong Kong, China",0,0,2,0,0,0,0,0
Indonesia,0,15,11,0,0,66,0,0
Jordan,2,3,0,0,0,0,0,0
Latvia,0,0,0,0,0,3845,0,0
Malawi,0,0,39,0,0,0,0,0
Malaysia,6,0,0,2,10,1,2,0
Morocco,0,5,0,0,0,0,0,0
Mozambique,0,0,0,0,7,0,0,0
Nigeria,0,0,0,0,0,0,1,0
Palau,4,0,0,0,0,0,0,0
Panama,11,0,0,0,0,0,0,0
Paraguay,6273,0,0,0,0,0,0,0
Portugal,2,0,0,0,0,0,0,0
Timor-Leste,0,0,3,0,0,0,0,0
Romania,13284,10477,17322,4068,2237,0,0,0
Serbia,0,3,0,0,0,0,5,0
Singapore,4,0,0,0,0,0,0,0
Ukraine,55,0,0,14909,5524,0,1489,0
Egypt,4,0,0,0,0,0,0,0
United Kingdom,21,9,1,7,1,0,0,0
HHI,0.316324287,0.326555911,0.29551242,0.38491482,0.335049032,0.296526986,0.53837586,0.266222658
