Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,2038,1994,1849,2293,5571,3304,3885,7355,7426,10903,5921,3437,7297,16910,22295,12402,14525,21837
China,284,356,360,882,1457,1021,985,1518,2195,5897,3314,1153,2630,11598,16777,8946,11596,17075
India,0,0,0,77,470,110,235,492,106,1183,1155,765,2093,2210,2145,1179,160,1292
Belgium,4,19,0,0,5,28,61,10,8,805,605,1032,1018,1153,851,1116,1099,1137
Portugal,907,1050,1187,357,1103,307,806,1382,1301,788,251,172,637,834,1638,818,703,731
Türkiye,0,0,0,1,181,0,0,0,44,6,0,0,53,126,69,134,183,362
South Africa,18,66,44,449,310,55,56,57,24,41,36,94,202,30,56,34,44,318
Netherlands,0,0,0,0,23,0,2,445,3,0,0,15,0,0,24,4,16,231
United States of America,1,0,5,39,232,798,224,38,196,37,27,92,191,299,70,4,1,145
Brazil,8,66,61,68,920,174,121,295,120,59,20,16,43,31,2,2,158,131
United Arab Emirates,66,116,111,106,134,147,63,189,146,247,47,39,52,63,26,22,19,67
Singapore,0,0,0,0,0,32,0,0,0,0,100,1,0,1,218,5,8,65
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,28,61
"Hong Kong, China",4,200,20,125,179,78,125,0,0,33,0,0,2,77,0,2,0,55
Spain,52,13,1,1,34,6,48,19,17,0,36,5,265,18,69,18,32,53
Congo,0,0,3,0,13,3,0,0,0,1,0,0,0,0,1,1,1,27
Namibia,0,0,0,1,109,7,12,8,22,12,1,7,8,7,4,0,0,20
United Kingdom,0,0,0,0,4,89,62,22,10,3,17,4,5,8,0,8,9,17
Denmark,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,12
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Congo, Democratic Republic of the",0,0,0,0,0,6,0,0,0,131,53,22,0,0,111,7,4,5
France,0,7,38,16,7,96,174,78,772,279,0,0,14,0,25,3,10,5
Italy,11,0,0,6,0,2,4,44,233,0,0,0,25,0,61,37,30,4
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Indonesia,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Nigeria,0,0,5,5,5,22,176,63,3,0,0,0,0,2,1,1,1,2
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Germany,0,0,0,0,7,2,0,1,13,16,0,0,0,81,0,5,1,1
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Taipei, Chinese",1,0,0,0,38,0,0,0,0,0,2,0,0,0,0,0,0,1
Norway,0,0,1,0,0,0,12,0,0,36,0,0,0,0,2,0,0,1
Saudi Arabia,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,1
British Virgin Islands,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Bahamas,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sri Lanka,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0
Finland,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Gabon,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Ghana,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Israel,0,0,0,18,1,2,0,0,3,1,6,0,14,0,0,0,0,0
Japan,0,0,0,36,7,1,0,1,388,0,0,0,0,0,0,0,215,0
Kenya,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"Korea, Republic of",672,54,0,34,220,294,717,2538,1769,1061,0,0,1,59,16,0,177,0
Lebanon,0,0,0,0,63,3,0,68,0,0,0,14,17,0,10,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,309,3,0,0,0
Malaysia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
Pakistan,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
