Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,226,50,120,752,369,272,1402,185
South Africa,58,23,0,441,310,155,277,104
Belgium,3,0,27,45,0,3,2,46
China,69,8,77,266,4,1,1120,35
Canada,0,0,12,0,0,0,0,0
France,6,0,0,0,0,0,0,0
Germany,0,1,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,1,0
Malaysia,82,17,0,0,0,26,0,0
India,0,0,1,0,55,87,1,0
United Arab Emirates,1,0,1,0,0,0,0,0
United States of America,6,0,0,0,0,0,0,0
Zambia,0,0,2,0,0,0,0,0
HHI,0.261576985,0.188612637,0.472056241,0.260534902,0.652897267,0.385907616,0.67967785,0.155689489
