Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,416,13,516,780,656,944,898,806,393,603,1312,219,1007,1137,1930,1509,2158,2617
Cameroon,29,13,171,41,14,2,325,22,14,29,100,12,134,31,342,371,1136,1775
Côte d'Ivoire,212,0,119,149,200,114,0,200,233,408,269,122,344,178,339,363,424,361
China,8,0,78,239,376,448,48,360,92,71,58,14,155,116,619,379,363,153
United Arab Emirates,0,0,0,18,1,19,33,0,3,0,18,15,332,5,41,31,152,111
Italy,0,0,2,0,0,0,0,0,0,0,0,0,0,161,0,0,0,90
Nigeria,1,0,101,44,0,0,0,106,31,0,0,0,0,172,98,50,44,75
France,140,0,22,202,38,321,126,89,21,85,27,44,8,448,75,214,0,15
Switzerland,0,0,0,0,0,0,11,8,0,0,0,4,0,0,0,33,10,10
Germany,0,0,0,0,0,0,46,0,0,0,31,0,0,2,6,12,0,8
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
United States of America,0,0,0,0,0,0,0,0,0,0,774,4,29,18,329,0,0,8
India,0,0,0,0,0,0,52,19,0,0,0,0,0,0,0,0,10,1
Chad,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
Belgium,0,0,0,0,0,0,35,0,0,0,0,0,0,7,10,27,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Congo,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0
Lebanon,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,9,35,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Mauritius,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Namibia,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,5,0,3,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,1,0,0,0,10,1,0,2,0,0,0,0,0,1,0,0
Sierra Leone,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,36,0,0,0,0,0,0,0,0,6,0,6,0,0,0
Spain,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Thailand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,4,0,20,42,25,37,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
HHI,0.450099659,1,0.215523849,0.20613168,0.442565463,0.377857575,0.253484832,0.31050043,0.400979456,0.497958691,0.431085199,0.385524378,0.224188081,0.245214434,0.244597403,0.229286359,0.402067552,0.574588429
