Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,72995,65355,75180,49213,50680,49009,87399,144318
Belgium,23960,25573,10610,9280,6824,6433,11375,28911
United States of America,2978,418,2140,447,0,745,12073,24854
France,17536,13807,14337,10292,12711,11683,17817,24226
Netherlands,5583,4729,3673,5762,8570,9289,11309,11121
South Africa,2539,1906,13955,4951,2917,5128,8037,7466
Rwanda,1997,1004,1520,1644,1259,1362,1251,7354
Italy,528,530,1947,210,1796,712,4704,6941
Argentina,2131,2451,870,604,1104,516,279,6773
Brazil,455,1953,1374,1194,3913,5873,4044,6100
Australia,0,0,0,0,0,0,7495,6033
"Tanzania, United Republic of",2213,707,727,815,135,354,525,2645
Zambia,3105,916,8496,1655,710,1178,2634,2520
Uganda,1478,1395,1009,1031,1581,2341,1534,2017
Germany,4282,2887,382,1199,723,1354,555,1787
Croatia,0,0,0,0,0,0,0,1231
Türkiye,446,351,417,141,110,62,134,912
Kenya,0,0,478,2,21,238,1145,907
India,305,371,160,209,1294,574,1834,832
Egypt,18,51,0,0,0,6,0,376
Angola,276,1424,2273,1463,28,27,17,311
Spain,2,0,454,0,1,78,75,203
Ukraine,0,266,3941,3863,4488,0,155,162
China,128,75,97,197,257,94,198,122
Bulgaria,0,29,72,20,24,36,56,95
Namibia,9,0,0,439,1209,249,37,94
Lebanon,1,1,3,2,1,1,2,67
Latvia,11,0,0,32,41,19,51,50
United Arab Emirates,29,105,38,31,199,7,15,49
Saudi Arabia,0,0,18,0,25,0,0,37
Burundi,116,138,191,180,308,100,29,32
Malaysia,0,0,3,3,0,0,0,31
Lithuania,346,195,1389,818,14,10,0,20
United Kingdom,351,1099,2053,1745,28,14,15,16
Congo,0,0,0,22,0,0,0,7
Thailand,0,6,0,0,0,1,0,7
Malta,0,1,1,2,0,0,0,3
Hungary,0,502,0,0,0,0,0,2
Senegal,0,0,0,6,0,0,0,2
Pakistan,954,1293,1063,133,388,20,0,1
Poland,190,0,56,0,0,0,3,1
Canada,0,0,0,0,0,3,2,0
Denmark,0,47,1026,735,0,501,0,0
Greece,0,0,0,0,0,0,1,0
Indonesia,0,2,0,6,0,0,0,0
Jordan,3,0,0,0,0,0,0,0
Mongolia,0,0,0,0,1,0,0,0
Nigeria,0,0,0,0,0,1,0,0
Portugal,2,111,176,80,0,0,0,0
Russian Federation,1021,1014,0,0,0,0,0,0
Sweden,0,0,227,0,0,0,0,0
HHI,0.302434646,0.345051021,0.200221174,0.207275254,0.220841658,0.243220706,0.198549692,0.220944783
