Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,172517,158236,139131,122643,98023
United States of America,94766,74330,65203,56702,33342
China,14892,11365,11273,13048,13217
France,9583,20966,12782,7528,7049
United Kingdom,1568,1705,1436,1142,4188
Germany,4083,3232,17154,13495,4055
Mexico,4503,2153,3293,3753,3397
Dominican Republic,3383,3424,2220,2383,3152
Italy,3087,4730,2311,4329,3010
Panama,2904,1511,1588,1349,2862
Israel,311,354,277,0,2354
Japan,1196,2782,1705,713,1801
"Taipei, Chinese",1519,1918,1125,1056,1718
Brazil,1121,2158,1512,1323,1698
Netherlands,9291,1359,2666,1161,1502
Spain,936,2379,810,499,1498
Denmark,1596,876,767,1388,1455
"Korea, Republic of",1084,1708,538,691,1436
India,356,3385,795,2008,1350
Viet Nam,128,567,346,499,1229
Belgium,1209,4717,1165,937,1045
Canada,2486,1644,2588,2070,939
Eswatini,1638,1665,442,390,709
Singapore,928,610,419,135,566
"Hong Kong, China",463,1449,1539,983,536
Ireland,40,62,24,8,536
Sweden,561,119,179,264,485
Switzerland,98,605,274,80,301
Argentina,2610,658,722,1328,289
Colombia,224,566,252,570,262
Ecuador,6,0,9,1,199
Thailand,458,337,416,438,186
Türkiye,230,20,47,206,178
Australia,7,108,4,202,176
New Zealand,326,9,0,9,146
Guyana,0,4,2,461,142
Portugal,0,381,0,9,116
Costa Rica,17,5,138,122,110
Jamaica,1410,780,1586,21,98
United Arab Emirates,262,301,175,251,89
Nicaragua,0,0,0,0,80
Chile,97,7,34,8,71
Luxembourg,241,660,0,382,68
Turkmenistan,0,0,0,0,50
Austria,25,14,33,0,45
Bangladesh,0,0,8,32,43
Jordan,228,0,8,0,36
Trinidad and Tobago,7,80,9,76,30
Congo,0,0,0,0,29
Barbados,62,20,20,84,25
Gibraltar,2,0,0,0,20
Sri Lanka,0,0,2,0,17
Kenya,0,0,3,0,15
"Korea, Democratic People's Republic of",0,5,0,0,10
Russian Federation,0,0,0,0,10
Aruba,7,14,8,149,9
Czech Republic,0,0,0,14,8
Poland,5,1,5,32,7
Honduras,0,1,46,35,5
Curaçao,14,5,54,7,5
Cambodia,0,0,2,0,4
Indonesia,225,1837,13,2,4
Antigua and Barbuda,1,3,4,0,3
Peru,14,24,158,34,3
Finland,140,7,1,4,2
Guatemala,1028,247,46,3,1
Turks and Caicos Islands,3,4,1,1,1
"Venezuela, Bolivarian Republic of",4,0,0,0,1
British Virgin Islands,0,0,4,0,0
Neutral Zone,0,1,52,0,0
United States Minor Outlying Islands,0,0,33,0,0
Afghanistan,0,0,6,0,0
Albania,0,0,2,0,0
Bahamas,117,81,303,81,0
Bermuda,1,0,0,0,0
Burundi,19,0,0,0,0
Cyprus,1,0,0,0,0
El Salvador,0,0,14,9,0
Georgia,0,1,39,0,0
Greece,24,0,22,1,0
Grenada,0,0,0,0,0
Hungary,0,0,0,2,0
Iceland,23,0,0,0,0
Côte d'Ivoire,1,0,0,0,0
Lao People's Democratic Republic,12,0,0,0,0
Liberia,2,0,0,1,0
Lithuania,0,0,0,2,0
"Macao, China",0,0,17,0,0
Malaysia,0,0,9,0,0
Nepal,0,1,9,0,0
Niger,0,0,1,0,0
Pakistan,0,56,6,1,0
Paraguay,0,6,4,0,0
Philippines,691,0,12,0,0
Timor-Leste,1,0,0,0,0
Romania,0,0,0,4,0
Rwanda,5,0,0,0,0
Saint Vincent and the Grenadines,23,64,0,0,0
Saudi Arabia,1,0,3,0,0
Senegal,0,0,77,7,0
Slovakia,0,0,0,21,0
South Africa,77,62,199,0,0
Sudan,0,0,0,2,0
Suriname,4,1,0,0,0
Syrian Arab Republic,16,0,0,0,0
Tunisia,0,0,7,0,0
Ukraine,0,4,0,5,0
Uruguay,113,85,77,90,0
Zambia,0,0,1,0,0
HHI,0.506249824,0.427547086,0.439226718,0.424202989,0.301756172
