Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,1237,379,115,505,6196,25374,9225,257
China,805,2,41,41,59,640,30,143
India,0,0,0,0,0,1,58,65
South Africa,406,228,67,40,6052,8197,7967,26
United States of America,0,0,0,0,2,0,1,12
Namibia,0,0,0,0,0,0,0,8
Zambia,7,2,0,1,31,16500,185,2
France,0,0,0,0,0,0,0,1
Australia,0,0,0,1,0,0,0,0
Belgium,0,93,2,1,0,9,673,0
Brazil,0,0,0,0,10,0,0,0
Canada,0,0,0,0,4,0,0,0
Denmark,0,0,0,417,0,0,1,0
Germany,12,27,0,4,0,0,0,0
Malaysia,7,0,0,0,0,0,288,0
Netherlands,0,0,0,0,0,27,0,0
New Zealand,0,0,0,0,0,0,14,0
Singapore,0,0,4,0,0,0,0,0
Spain,0,0,0,0,38,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0
United Kingdom,0,28,0,0,0,0,8,0
HHI,0.509682163,0.421720666,0.368287879,0.732396418,0.962766243,0.537869062,0.806268633,0.392507412
