Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,666,59,1398,0,0,0,0,0,0,0,255474,96774,6266,1383521,15634,15228,2247,1112213
South Africa,10,54,216,0,0,0,0,0,0,0,0,16,9,10101,9,1,9,339548
Congo,0,0,5,0,0,0,0,0,0,0,228,3,3,291059,52,9,8,112019
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,19,1,8,27770,0,0,0,95699
Italy,0,0,0,0,0,0,0,0,0,0,3,0,0,635,0,5,16,77158
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68552
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,1,0,48693
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,47756
Namibia,0,0,390,0,0,0,0,0,0,0,5414,4476,0,340878,4,6,827,46222
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,8928,0,0,0,40163
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38741
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,1680,0,0,0,27254
Singapore,0,0,0,0,0,0,0,0,0,0,236602,0,0,135525,0,0,0,26126
United States of America,0,5,95,0,0,0,0,0,0,0,1790,702,11,44776,7,2045,200,20791
France,656,0,40,0,0,0,0,0,0,0,10,1528,8,145521,0,0,0,17631
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,19080,0,0,0,16921
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,29601,0,0,0,14002
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,10861
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,8166,0,5290,619,0,0,0,9316
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,8128
Senegal,0,0,0,0,0,0,0,0,0,0,762,0,50,6325,0,0,824,6922
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6212
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,8548,0,0,0,5207
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,5064
United Kingdom,0,0,296,0,0,0,0,0,0,0,199,389,2,94175,1,0,0,4636
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,0,21027,0,27,16,4346
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,4018
Gabon,0,0,0,0,0,0,0,0,0,0,0,212,0,702,0,1,0,2747
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,9608,0,0,0,1392
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,22772,15000,0,12,1300
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,18017,0,12981,292,1052
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806
China,0,0,12,0,0,0,0,0,0,0,0,0,0,5408,0,0,0,749
Portugal,0,0,0,0,0,0,0,0,0,0,724,3,722,11760,6,145,27,729
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,12,7113,350,0,0,575
Canada,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,384
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,10400,0,0,0,371
Togo,0,0,0,0,0,0,0,0,0,0,319,0,0,12212,0,0,0,113
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,8
Belgium,0,0,344,0,0,0,0,0,0,0,942,0,28,4646,4,0,0,1
Netherlands,0,0,0,0,0,0,0,0,0,0,8,1,54,11116,0,0,11,1
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,8909,0,0,1,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,213,5,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,9669,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,89421,0,0,0,0,1,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,713,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0
"Macao, China",0,0,0,0,0,0,0,0,0,0,0,0,0,25386,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,52,0,50,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,32066,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0
HHI,0.949126245,0.724026656,0.166339962,0,0,0,0,0,0,0,0.905225336,0.896699939,0.802940647,0.254364821,0.94120842,0.803877882,0.376593888,0.240293695
