Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,14911,24831,28219,35477,37265,39271,43258,49089,60769,77322,76105,80590,68945,73595,77978,111706,100919,95371,116711,108685
Côte d'Ivoire,3856,3639,4081,6696,8194,7717,9620,14002,15042,17867,17870,18900,17838,16787,17718,20265,23578,23636,25167,23615
Ghana,765,2437,3428,5193,7171,6839,9775,7627,11215,18413,10995,8709,9751,6233,10721,17641,23267,15625,13823,16867
China,163,373,794,713,770,1558,2650,2652,2794,2904,2753,3088,2001,4043,3883,5007,5179,7868,8768,10052
United States of America,30,426,116,187,855,1641,696,1435,4155,3999,5430,2849,1001,1180,1886,4154,3695,4829,6033,6754
Egypt,0,0,168,231,177,63,89,114,229,146,6,368,590,911,1641,5441,4764,3361,2874,5282
France,3819,5367,4034,4546,4986,4820,3245,3339,5695,4421,5842,5659,8723,5991,7013,7418,8119,4860,6662,5022
Türkiye,42,0,0,3,0,7,47,33,45,156,179,142,256,274,582,1289,1017,1198,2666,4266
Germany,591,445,5944,6200,1067,295,274,835,2345,3453,5372,6055,3434,9822,5192,5615,2978,4731,8196,4034
Togo,948,846,568,719,972,2475,3649,4381,2753,2384,2052,728,678,781,813,3258,3243,5497,4733,3323
Tunisia,20,96,236,238,363,867,749,378,523,878,884,1643,622,3019,3018,4407,4611,3550,3875,2904
Italy,45,476,315,312,397,551,2804,279,431,696,877,1527,1486,1087,1717,2282,2020,2124,1767,2546
Spain,1042,2681,888,474,656,1164,762,1790,2720,2396,2002,3993,1862,2869,2880,4750,1477,851,3080,2492
"Korea, Republic of",89,197,396,1260,673,586,858,1066,1105,876,880,1520,867,480,358,213,503,1036,2512,2466
Belgium,224,3353,1004,1874,2021,1208,577,951,803,1095,818,1305,2264,1538,709,1491,343,690,742,1856
Australia,1,0,14,63,128,102,178,11,330,526,610,176,171,1464,700,781,1933,787,1511,1714
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,1033,1223,1470,1431
India,38,21,39,75,284,175,168,661,600,848,747,401,664,2337,2523,2872,502,915,1402,1350
Thailand,0,55,113,55,278,786,329,410,1044,930,798,829,872,391,441,1426,984,116,2308,1157
Netherlands,93,299,527,531,494,675,809,1229,1691,2794,2712,2791,1364,2486,2492,669,1044,1684,1322,1117
Senegal,66,543,53,131,41,7,15,21,31,256,128,318,386,585,1318,900,570,704,1450,1011
United Arab Emirates,7,349,42,133,119,136,222,26,53,122,226,543,198,206,347,344,682,198,1041,867
Russian Federation,0,41,0,0,0,1,0,0,230,57,0,0,1,1,0,23,0,2,3278,800
South Africa,816,1007,2152,1655,2755,3200,1465,1515,963,2149,2338,1461,1488,1397,1514,2600,1749,1548,1723,790
Portugal,0,0,0,0,3,9,2,28,57,44,1,188,107,52,15,133,397,637,719,700
Sweden,31,5,15,12,1,3,0,3,58,12,23,56,35,15,337,682,323,438,367,663
Saudi Arabia,428,757,797,1435,266,290,386,898,1242,2178,3247,7932,3006,2496,2947,10980,922,1319,3667,604
Nigeria,222,205,65,65,139,268,134,72,87,135,288,690,666,208,43,278,136,53,89,587
Qatar,74,16,206,302,236,328,407,401,377,652,290,244,132,662,651,499,506,631,199,447
"Taipei, Chinese",0,3,9,3,0,5,573,313,155,1243,844,104,119,198,171,73,74,73,146,442
United Kingdom,2,140,137,359,484,144,202,223,378,486,1354,734,2268,1624,1995,1031,812,1368,327,371
Switzerland,78,24,39,49,13,55,76,26,112,24,235,76,24,30,114,73,220,280,401,296
Mali,340,383,309,456,671,767,635,591,508,522,461,314,214,246,175,155,224,300,467,261
Singapore,3,5,80,19,13,5,0,7,241,231,1,221,2,25,325,1395,847,50,16,245
Czech Republic,15,0,1,0,0,0,0,0,0,1,54,119,46,178,564,188,270,342,827,244
Denmark,223,7,4,201,12,44,4,37,11,5,17,70,0,128,8,38,287,37,34,223
Morocco,14,33,51,27,78,59,34,116,345,180,554,1346,645,89,204,619,806,598,257,210
Malaysia,1,1,1,2,126,290,23,1,68,35,148,215,1824,1,68,358,8,124,108,180
Japan,0,3,5,10,3,17,32,23,8,22,5,25,193,14,36,42,56,93,358,159
Lebanon,4,69,119,10,102,162,128,844,651,616,1030,673,724,1337,588,360,122,22,73,157
Guinea,0,0,0,0,0,0,0,40,26,221,402,346,204,320,105,111,150,111,401,149
Canada,63,89,15,178,818,132,148,1186,136,629,683,2593,807,1023,978,642,402,542,306,146
Poland,0,0,1,0,1,6,4,19,2,27,25,44,15,165,115,138,97,218,175,126
Ukraine,0,0,3,19,3,44,0,3,0,29,41,2,0,0,0,33,57,74,151,120
Indonesia,86,60,21,60,48,36,68,77,82,15,18,24,13,23,2,32,15,31,23,74
Viet Nam,0,0,0,0,8,0,20,1,19,28,164,1,0,18,1,1,12,101,69,67
"Korea, Democratic People's Republic of",0,25,10,0,41,0,0,8,4,0,0,0,0,0,7,120,1,82,0,54
Ireland,1,0,624,5,0,0,0,0,27,7,57,9,52,11,0,3,5,69,35,54
"Hong Kong, China",2,14,33,2,37,25,0,0,0,0,7,0,0,3,1,0,5,5,14,52
Finland,0,0,0,0,0,49,77,204,34,158,109,8,6,25,49,57,25,23,144,47
Mexico,0,0,0,0,1,0,2,7,5,3,9,2,1,1,5,21,11,20,12,43
Austria,0,4,5,9,1,4,0,23,107,210,204,72,4,31,3,22,40,38,24,35
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33
"Iran, Islamic Republic of",1,3,16,1,5,0,0,1,6,0,0,0,0,0,0,4,0,10,0,24
Romania,0,21,22,17,0,0,0,0,0,0,0,0,13,2,0,3,191,9,19,21
Algeria,0,0,0,0,0,0,3,5,1,1,211,5,0,1,0,56,0,14,0,17
Hungary,0,0,0,172,126,116,111,0,24,311,63,93,11,11,91,69,3,214,7,16
Benin,21,13,3,6,4,11,10,20,17,57,565,56,203,18,91,413,119,108,91,15
Greece,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,4,42,0,183,15
Niger,556,194,143,93,220,1069,391,262,191,232,258,227,13,4,14,17,363,98,40,12
Slovakia,0,0,0,0,0,0,0,1,0,0,0,0,0,162,0,18,13,4,2,10
