Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,22814,30299,40099,25541,34261,41793,59363,81879,85858,112532,107047,115057
India,9769,12856,19041,3250,13596,31879,36854,58419,48982,103446,101418,113664
United Arab Emirates,300,0,303,487,0,0,2758,709,179,357,207,783
Pakistan,7351,6292,12992,19564,3067,6507,4734,6756,36158,6695,4778,545
"Iran, Islamic Republic of",160,278,225,135,996,432,1530,2449,143,93,27,46
Germany,0,456,0,0,0,295,951,0,8,0,0,13
Ukraine,0,0,0,0,0,0,0,0,0,23,0,5
Turkmenistan,0,0,0,0,0,67,495,0,3,0,0,0
Australia,0,0,0,0,9,0,0,0,0,0,0,0
China,1112,936,219,115,0,0,4680,3632,41,7,0,0
France,126,154,110,166,281,157,160,168,0,0,0,0
Iraq,4,0,0,113,57,46,52,0,14,47,0,0
Italy,0,0,110,0,0,0,0,0,0,0,0,0
Japan,334,701,298,275,57,650,0,12,80,77,159,0
Kazakhstan,0,0,0,0,0,0,168,0,0,0,0,0
"Korea, Republic of",40,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,5,5,0
Netherlands,0,0,0,0,0,0,0,2,0,0,0,0
Russian Federation,0,0,0,0,0,125,32,0,0,24,13,0
Saudi Arabia,288,350,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,53,0,0,0,0,0
Eswatini,1724,2901,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,226,0,190,0,0,69,0,0,0,0
Tajikistan,22,2,0,0,3561,135,346,0,1,0,0,0
Türkiye,787,1070,997,47,11328,0,4525,8649,233,1057,440,0
Egypt,84,851,3833,1351,783,105,1717,0,0,0,0,0
United Kingdom,0,0,0,38,0,1300,56,0,0,0,0,0
United States of America,675,3451,1745,0,0,94,0,1015,17,649,1,0
Uzbekistan,39,0,0,0,336,0,252,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,50,0,0
HHI,0.394497581,0.307124407,0.416703691,0.683120361,0.34754968,0.694761163,0.522937421,0.610716893,0.591064438,0.891031623,0.9227178,0.979599284
