Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,728,308,307,541,1238,168,1153,1129
China,252,150,193,336,894,67,722,481
United States of America,2,1,6,4,4,10,7,285
Nigeria,20,8,6,6,62,23,13,125
South Africa,15,8,3,42,75,11,10,41
Italy,102,0,0,0,39,0,0,36
France,2,1,0,1,15,27,51,33
"Tanzania, United Republic of",0,0,7,2,13,0,0,29
United Arab Emirates,48,1,1,0,4,8,9,21
Uganda,6,4,3,19,30,6,6,14
Angola,2,15,1,0,0,0,3,12
Canada,0,0,0,0,54,0,0,10
Zambia,0,0,0,0,0,0,10,9
Belgium,1,109,0,0,6,1,27,8
Portugal,0,0,0,0,0,0,0,8
Germany,42,6,0,2,1,3,9,4
India,21,1,1,1,10,0,2,4
Switzerland,0,0,0,0,0,0,8,4
Congo,0,0,0,0,0,0,0,1
"Hong Kong, China",206,3,77,110,3,5,136,1
Spain,1,0,0,1,17,0,1,1
Türkiye,0,0,0,0,4,0,0,1
Australia,0,0,5,0,0,0,10,0
Denmark,4,0,0,0,0,0,123,0
Indonesia,1,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,1,0,0,0
Japan,1,0,0,0,0,0,0,0
Kenya,2,0,0,0,5,1,1,0
Lebanon,0,0,1,0,0,0,2,0
"Taipei, Chinese",1,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,3,0
Rwanda,1,0,0,0,0,0,0,0
Serbia,1,0,0,0,0,0,0,0
Thailand,0,0,0,0,1,0,1,0
United Kingdom,0,0,1,16,0,5,0,0
HHI,0.333455334,0.445633413,0.554658513,0.521830007,0.648572049,0.249287573,0.550358081,0.375903242
