Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,14613,12038,9248,16435,13073
United States of America,6666,5710,3870,3740,4103
Dominican Republic,2103,1690,2403,4607,2466
India,66,48,107,971,1759
China,2485,2163,1068,3249,1638
Belgium,308,300,400,815,848
Poland,0,0,0,70,465
Mexico,61,124,24,867,420
Trinidad and Tobago,0,315,472,620,271
Switzerland,153,57,74,0,179
Colombia,58,106,97,84,159
Netherlands,1211,135,77,225,116
Egypt,0,0,0,0,111
Jamaica,274,95,81,59,107
"Hong Kong, China",0,37,76,89,76
Indonesia,62,21,0,20,50
France,67,32,37,95,48
Ireland,169,0,0,438,43
Kenya,0,0,0,0,41
Germany,95,64,35,37,30
Costa Rica,0,0,3,0,29
United Arab Emirates,12,18,17,35,29
Spain,17,378,159,58,23
Thailand,0,0,0,0,19
United Kingdom,27,7,7,0,17
Bosnia and Herzegovina,0,0,0,0,9
Russian Federation,0,243,0,0,7
Brazil,10,24,4,1,4
Australia,0,0,0,0,3
Panama,75,0,0,216,2
Canada,10,40,9,10,1
Viet Nam,0,0,0,1,1
Türkiye,0,5,0,0,1
Argentina,74,24,0,0,0
Bahamas,18,65,0,0,0
Barbados,19,0,0,0,0
Bulgaria,0,0,109,0,0
Sri Lanka,0,1,0,0,0
Chile,0,0,0,113,0
Denmark,0,287,51,0,0
Israel,116,0,0,0,0
Italy,0,2,0,0,0
"Korea, Republic of",32,0,0,0,0
"Taipei, Chinese",153,17,44,14,0
Norway,0,0,0,2,0
Eswatini,0,4,0,0,0
Ukraine,0,1,0,0,0
Uruguay,269,27,24,0,0
HHI,0.400756103,0.426953202,0.38605247,0.281596496,0.294124691
