Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,74,21,19,0,0,0,0,0,0,0,240,124,108,167,152,125,102,102
Togo,0,0,0,0,0,0,0,0,0,0,42,0,70,157,151,118,62,65
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,37
China,0,0,0,0,0,0,0,0,0,0,67,46,27,6,0,0,0,0
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"Hong Kong, China",7,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0
Japan,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,14,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,40,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,11,64,11,0,0,0,0,0
South Africa,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
HHI,0.268280227,0.115889139,0.139738651,0,0,0,0,0,0,0,0.257875122,0.347649485,0.295203849,0.860351326,0.977612445,0.814470127,0.337507882,0.089310341
