Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,1554,1122,728,2755,300
United States of America,1036,604,280,611,208
Canada,47,77,87,15,30
United Arab Emirates,0,0,0,0,20
France,26,363,95,10,16
Netherlands,3,0,0,2053,5
China,34,23,36,0,4
Germany,3,4,0,35,4
Belgium,16,4,22,8,3
Dominican Republic,365,8,3,2,3
Italy,12,17,2,4,2
United Kingdom,1,1,0,1,2
Spain,0,0,8,0,1
Bahamas,0,0,1,0,0
Brazil,0,11,20,0,0
Israel,0,0,160,0,0
Jamaica,5,0,3,3,0
Luxembourg,6,5,10,3,0
Portugal,0,0,0,8,0
Senegal,0,1,0,0,0
India,0,3,0,2,0
HHI,0.589716898,0.491420744,0.282741219,0.692296902,0.587181774
