Importers,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017
World,282,326,525,457,2936
France,2,4,0,3,2068
United Kingdom,3,3,0,0,556
United States of America,207,273,303,369,227
Curaçao,0,0,0,0,54
Canada,35,34,28,12,17
Dominican Republic,4,0,29,0,11
Italy,0,0,1,0,2
China,4,0,0,0,0
Congo,0,9,0,0,0
"Hong Kong, China",27,3,157,72,0
"Taipei, Chinese",0,0,7,0,0
HHI,0.599652658,0.73727788,0.416437408,0.646224066,0.571925762
