Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,163225,42711,119307,167241,389781,299300,490926,346600,316490,486691,414916,450269
Malaysia,72067,20075,45647,51718,94490,0,217398,216660,209413,338949,268724,307041
Russian Federation,1649,2570,6585,5425,11626,38269,42473,30222,39270,48228,39203,47808
Pakistan,34245,6290,20045,38526,72030,70195,111578,45979,28992,36170,35018,42348
"Iran, Islamic Republic of",16664,7294,16380,21967,16935,10619,4470,7391,10653,21041,43898,14406
United Arab Emirates,19087,588,7759,21949,133954,82033,24398,8910,11817,14902,7630,9679
Türkiye,621,36,743,0,9710,14332,5396,3440,4483,5141,3761,7058
India,298,0,160,736,0,62,357,250,56,749,947,5637
Uzbekistan,52,61,182,183,58,29,3569,0,12,75,48,5162
Kazakhstan,0,41,29,2402,387,2160,236,984,1604,7439,5639,3998
Indonesia,1480,1959,13066,11976,45561,76012,60570,27991,5273,2859,3620,3572
Ukraine,293,246,0,651,815,795,3640,2260,787,1093,1355,1290
Turkmenistan,607,611,636,0,414,1462,6999,936,991,8536,3113,953
Spain,0,0,0,41,218,32,0,0,28,113,310,516
United States of America,83,0,75,56,1103,200,3546,45,65,665,588,250
Argentina,0,0,0,0,0,0,0,0,0,85,160,217
United Kingdom,0,0,0,0,0,0,101,0,124,1,135,131
China,99,22,404,1642,439,1684,4862,854,2509,277,290,64
Germany,13,0,0,134,440,93,27,0,61,0,0,60
Saudi Arabia,15435,2392,6898,8132,61,67,0,131,74,312,472,45
Kenya,0,0,0,58,0,0,267,0,0,0,0,12
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,10
Italy,0,0,0,0,0,0,0,0,0,0,0,9
Netherlands,0,0,0,0,0,0,0,0,0,0,6,3
Lebanon,0,0,0,0,0,0,0,0,0,0,0,1
Australia,0,0,0,0,426,0,0,0,0,0,0,0
Belgium,0,0,0,0,50,0,0,0,0,0,0,0
Brazil,0,15,267,46,0,0,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,0,202,0,0,0,0
Canada,0,0,140,115,1,0,0,0,61,0,0,0
Sri Lanka,370,261,154,75,0,185,0,123,0,0,0,0
Denmark,0,0,0,1,0,0,0,28,120,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,35,0,0,0,0
Ireland,0,0,0,0,0,0,89,0,0,0,0,0
Côte d'Ivoire,0,0,0,227,0,0,0,0,0,0,0,0
Japan,0,0,0,734,0,14,0,0,0,0,0,0
"Korea, Republic of",0,0,54,239,88,0,0,65,0,0,0,0
"Taipei, Chinese",0,0,52,0,0,0,0,0,0,0,0,0
New Zealand,0,0,29,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,91,346,72,0,0,0,0,0
Singapore,10,0,0,52,0,203,264,0,97,0,0,0
Viet Nam,0,37,0,0,112,0,489,92,0,0,0,0
South Africa,0,0,0,0,385,0,0,0,0,0,0,0
Tajikistan,153,148,3,8,11,274,125,0,0,0,0,0
Thailand,0,65,0,0,0,232,0,0,0,0,0,0
Egypt,0,0,0,150,373,0,0,0,0,57,0,0
HHI,0.374260141,0.385322229,0.315583655,0.30123361,0.347001901,0.317865272,0.393835003,0.550438533,0.592848048,0.623451538,0.570361425,0.620621557
