Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,176,157,36,217,468,21,779,121,201,66,68,57
Canada,0,5,0,0,0,0,4,19,33,26,13,22
United States of America,0,0,0,7,13,0,0,69,19,14,11,22
Pakistan,0,11,24,11,0,21,721,27,4,16,12,7
Saudi Arabia,0,0,6,0,0,0,0,0,0,0,10,2
United Arab Emirates,0,0,0,0,3,0,12,5,5,4,0,2
Australia,0,0,4,5,10,0,0,0,0,2,18,1
Germany,0,4,0,0,0,0,0,0,0,2,0,1
United Kingdom,0,0,0,0,0,0,0,0,0,0,2,1
Belgium,0,0,0,0,0,0,0,1,2,0,0,0
"Iran, Islamic Republic of",0,0,0,67,64,0,0,0,0,0,0,0
Iraq,176,137,0,128,377,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,1,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,42,0,138,3,0,0
Sweden,0,0,2,0,0,0,0,0,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0
HHI,1,0.752738479,0.39664501,0.401008631,0.670500322,1,0.854513545,0.337116282,0.515010553,0.222334442,0.086889246,0.323221652
