Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,0,0,0,0,0,0,15394,25314,20688
Japan,0,0,0,0,0,0,0,0,0,14331,23409,18438
China,0,0,0,0,0,0,0,0,0,935,1679,2107
Türkiye,0,0,0,0,0,0,0,0,0,39,58,49
United Arab Emirates,0,0,0,0,0,0,0,0,0,20,34,42
Norway,0,0,0,0,0,0,0,0,0,0,0,23
Germany,0,0,0,0,0,0,0,0,0,3,0,20
Italy,0,0,0,0,0,0,0,0,0,0,16,5
Indonesia,0,0,0,0,0,0,0,0,0,13,25,1
Uzbekistan,0,0,0,0,0,0,0,0,0,37,15,1
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,1,0,0
India,0,0,0,0,0,0,0,0,0,10,0,0
Spain,0,0,0,0,0,0,0,0,0,0,1,0
Thailand,0,0,0,0,0,0,0,0,0,0,71,0
United States of America,0,0,0,0,0,0,0,0,0,5,6,0
HHI,0,0,0,0,0,0,0,0,0,0.901918385,0.893429121,0.84557251
