Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,265727,2541,696088,42006913,39123978,51228746,65169152,69465674,66382252,57336236,42076390,26009598,32656684,38421547,32877468,19504299,31435688,47041262
China,0,0,6,13398489,15840455,20916961,24315769,33708774,31945269,27519754,20014890,13891166,19438736,24112241,21341046,13079469,20280459,21724188
India,0,0,0,2376843,3659557,5117825,6842018,6932061,6764233,4507184,3440193,1946636,2888555,3752754,3440623,1616010,2959118,5010611
France,3028,1907,64,2589898,3030206,2213065,2187026,1176723,1374450,1929739,1620459,902874,314798,620623,561696,371040,238984,3633457
Netherlands,714,0,436,1590514,1241503,724212,1675963,1086273,1647310,2264410,1120160,483151,55653,131206,173374,229625,467741,3486341
Spain,0,0,335,768558,719330,954267,630897,1587126,2443569,3682150,2599575,816656,986391,1168314,1167392,452077,671189,2221069
Italy,0,3,5120,324710,0,219900,2270211,1090068,1028990,1345395,1383632,479571,450150,500414,740924,261944,634478,1826477
United Kingdom,0,171,14,0,287007,77152,348431,1288477,838968,292919,1028163,350575,329933,318207,37007,1,0,1342428
Canada,0,0,0,2913186,2324861,4039117,0,3519982,3305027,2719655,1506665,872994,1078888,682789,20126,90993,425148,1178648
Indonesia,0,0,0,0,0,0,214822,319719,105951,204362,712771,286208,414725,601522,0,15188,437434,918534
Thailand,0,0,0,57534,0,76512,0,211521,200567,814332,140773,17009,189427,671493,580479,887372,1004528,914807
"Taipei, Chinese",0,0,0,1913907,1154653,2699440,5386493,4699798,4007020,2328628,1775434,1130858,1386482,150792,182906,285734,132592,712823
Portugal,0,0,0,627719,290249,865929,1611818,2007865,2980673,1924763,1242170,803247,315876,1057776,1100959,271540,64261,694377
Brazil,1225,0,132413,874218,192964,509260,333280,315317,428750,1032751,0,52462,119047,146443,170251,94021,165276,631015
United States of America,260258,12,543832,10875647,7683783,9965786,16475024,6594526,5018379,2548786,1728062,1433213,1038771,1190896,897944,344094,450637,576799
Singapore,0,0,0,0,0,143770,0,0,423789,97684,289661,0,246338,405891,310656,436591,748898,393988
Malaysia,0,0,0,0,0,237357,202594,0,0,88086,235846,478781,571026,257150,245054,60299,121740,385083
Chile,0,0,0,767730,38075,0,0,0,0,377509,53656,0,0,0,188584,75117,516820,376010
South Africa,5,4,5,1802122,1422018,1704753,1697608,3001275,1753638,1951242,1777445,1266471,1335814,1121412,359157,174546,500125,277888
Belgium,0,0,1549,0,0,15876,0,0,106148,23628,9269,0,0,29755,63794,4548,0,153701
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75867,124324
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,61737,0,81435,40523,76955,41474,184210,111819
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103102
Türkiye,0,0,0,0,0,0,0,0,0,0,0,2707,36485,0,0,62066,0,92743
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12116,286181,77981
Sao Tome and Principe,9,0,0,32715,16748,21182,60318,33021,33819,39431,30083,17771,20442,23282,7931,0,0,32645
Togo,0,0,0,0,0,6235,14197,0,0,0,41238,0,106298,0,22116,86566,37420,25497
"Congo, Democratic Republic of the",5,0,0,2889,0,0,0,0,0,0,0,0,0,1,302,525,192232,14899
