Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,27,136,185,478,479,466,558,1371,1725,1438,19177,1085,739,1409,1025,1828,2248,3431,6267,6197
"Congo, Democratic Republic of the",27,0,0,0,16,1,12,10,223,224,523,346,129,170,208,481,949,1292,2251,2885
South Africa,0,0,9,317,316,213,221,203,317,242,95,59,5,10,64,83,285,682,875,1480
Zimbabwe,0,100,60,73,25,81,260,980,1040,727,741,273,386,854,109,24,13,390,1539,1105
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Botswana,0,0,48,36,55,91,4,0,0,0,0,0,0,0,0,51,18,6,17,31
Angola,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,47,27,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
Kenya,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
Malawi,0,14,67,50,62,76,61,115,124,172,471,286,155,289,115,221,27,378,802,0
Mozambique,0,0,0,0,5,0,0,2,0,12,0,0,0,0,25,84,180,68,242,0
Namibia,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0,1,0,0,0,0
Netherlands,0,0,0,1,0,0,0,0,0,0,0,6,0,40,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
Eswatini,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,30,33,95,0,16,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,20,8,17263,19,65,31,0,0,66,37,0,0
"Tanzania, United Republic of",0,0,0,0,0,0,0,59,0,21,22,0,0,0,504,819,663,535,516,0
HHI,1,0.431877034,0.106406076,0.443979178,0.467529168,0.278641174,0.3155387,0.575719985,0.362342457,0.352813698,0.848071545,0.219463655,0.268937807,0.440982955,0.253036565,0.339602746,0.306689762,0.240857094,0.200554877,0.258143686
