Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,405794,346749,332874,370561,187605
United States of America,315264,244198,242760,254399,136251
Poland,0,0,0,0,12917
Viet Nam,33723,10707,17881,9090,8838
Canada,280,3740,3551,17292,7618
Russian Federation,9095,7808,25356,40714,6039
"Taipei, Chinese",2158,82,1959,331,5947
Guyana,653,5615,10166,13902,3579
Pakistan,1098,1357,343,964,1915
India,162,193,687,1039,1626
Japan,4468,0,6020,13609,1456
Suriname,5279,2458,0,4183,724
Dominican Republic,142,612,288,475,184
Thailand,207,1446,234,45,179
Brazil,0,148,167,4,130
France,408,419,2368,101,74
Jamaica,6862,4776,3109,5341,45
Uruguay,0,0,0,0,26
Argentina,797,0,52,1538,15
Ukraine,0,3,0,0,13
United Arab Emirates,47,976,0,0,10
Netherlands,0,0,8,21,7
Antigua and Barbuda,0,1,0,0,2
Italy,335,316,710,565,2
Spain,0,0,2,0,2
Trinidad and Tobago,0,0,0,4,2
British Virgin Islands,0,0,0,0,1
Curaçao,0,0,2,1,1
Aruba,0,0,0,0,1
Bahamas,10021,2868,0,0,0
Belgium,0,0,5,10,0
Chile,86,222,83,0,0
China,934,1341,1080,13,0
Colombia,502,0,0,2,0
Germany,2,1,37,0,0
"Hong Kong, China",0,0,20,0,0
Jordan,17,0,0,0,0
Latvia,0,9383,0,6911,0
Lithuania,8572,18737,3294,0,0
Luxembourg,0,0,0,1,0
Mexico,3878,15286,9328,5,0
Panama,41,17,0,0,0
Timor-Leste,1,0,0,0,0
Eswatini,0,2,0,0,0
Switzerland,0,0,1,0,0
Türkiye,761,4467,0,0,0
United Kingdom,0,9569,3362,0,0
HHI,0.732184757,0.644387168,0.675656386,0.62649365,0.671997009
