Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,3821,3532,3182,4341,4341
Spain,25,69,35,696,1555
United States of America,1632,1449,961,1709,836
Mexico,458,709,416,947,697
China,400,179,920,341,466
Dominican Republic,364,229,401,288,272
Colombia,401,143,156,161,130
France,91,84,103,33,112
Honduras,26,54,29,38,53
Italy,18,78,12,0,49
"Hong Kong, China",2,51,7,0,39
Brazil,29,1,0,0,33
"Korea, Republic of",43,29,12,30,19
Panama,8,28,18,1,17
Türkiye,0,0,0,0,17
Japan,1,15,33,20,13
Netherlands,0,0,5,1,13
Canada,9,6,8,9,11
Germany,84,40,53,48,4
United Arab Emirates,10,6,4,2,2
Belgium,9,2,0,1,1
"Taipei, Chinese",1,0,2,1,1
United Kingdom,1,78,1,2,1
Barbados,0,0,0,3,0
El Salvador,0,0,0,3,0
Indonesia,0,0,1,2,0
Ireland,33,100,0,0,0
Israel,2,0,0,0,0
Jamaica,75,147,0,0,0
Curaçao,2,0,0,0,0
Qatar,0,3,0,0,0
India,0,29,1,2,0
Viet Nam,2,0,0,0,0
Eswatini,50,2,4,0,0
Sweden,32,0,0,2,0
Thailand,9,2,1,1,0
HHI,0.358209929,0.339306816,0.318145544,0.359795059,0.309636684
