Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,0,0,0,0,0,0,0,363,984
Japan,0,0,0,0,0,0,0,0,0,0,0,377
Belgium,0,0,0,0,0,0,0,0,0,0,186,298
China,0,0,0,0,0,0,0,0,0,0,125,155
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,69
India,0,0,0,0,0,0,0,0,0,0,0,24
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,21
United States of America,0,0,0,0,0,0,0,0,0,0,20,18
Italy,0,0,0,0,0,0,0,0,0,0,0,15
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0,0,4
Türkiye,0,0,0,0,0,0,0,0,0,0,0,3
Germany,0,0,0,0,0,0,0,0,0,0,18,0
Pakistan,0,0,0,0,0,0,0,0,0,0,15,0
HHI,0,0,0,0,0,0,0,0,0,0,0.318293968,0.29727601
