Code,2015,2016,2017,2018,2019,2020,2021,2022
1,0.00015109050407956755,0.00014840350603738238,0.00011218126562524771,0.00018599330449323254,0.0001253285909417571,8.809714518724696e-05,8.728820602689563e-05,0.00011827467001070732
2,0.024087346424373192,0.02377114613393389,0.022961833555398246,0.01446410032894965,0.010822452447091731,0.015550721968861637,0.00827776193039747,0.004069641370308917
3,0.018725926535557953,0.017317323478126596,0.01290308572578694,0.009727260679262679,0.006438331420920265,0.007520674689059851,0.0044120220500867245,0.0038439082544162607
4,0.006172772177334392,0.00774611674457699,0.005713145438616686,0.002314134999362579,0.004180943663098617,0.002792544430151796,0.001774498228550594,0.0014226668497028612
5,0.0004531475659679237,0.0002603889737833826,0.00027054468054015196,0.00023378412646132417,0.00023014680669322665,0.00018369830614853538,0.0001572023002321699,7.66025736242226e-05
6,1.6113015201266433e-05,1.8391109337148002e-05,2.188482447681484e-05,2.8371860007442254e-05,3.6828021750516326e-05,2.8665340256838446e-05,1.7123523670347945e-05,9.519758907845844e-06
7,0.002115143110843167,0.0028187561637529807,0.0024161190865308727,0.0020624450768076687,0.0015700068964720115,0.0023549102302096968,0.001829460563063223,0.001652141193804437
8,0.0004975203309067959,0.0006697277241785183,0.0006256991942938163,0.00039039679370240544,0.00042425881056594813,0.0005817113028036954,0.0005188010025196639,0.00021487984990044257
9,0.0005608568752748508,0.0006196529215278678,0.0004499313126690043,0.000306542185235965,0.0003530957408449504,0.00032807556964109346,0.0002908493142446417,0.00010816224128758702
10,0.028321351034182894,0.029351846321705295,0.026107389350672087,0.018065813384027754,0.022347923500153317,0.02391664899470952,0.018575849065744724,0.008910123919109164
11,0.009047458035511102,0.011900504462666411,0.01295822859061041,0.006220372685187228,0.005742905053280516,0.007355286181399977,0.007300384611047513,0.0053458076500486245
12,0.00020054506612037762,0.00014731096488864093,0.00020471788565713407,0.00039329702828094396,0.0003462967214448551,0.00015593344778458193,0.0004129692732985378,6.793477757583378e-05
13,0.00037307827504470744,0.0003488848068314413,0.0004020259488536143,0.0004235603456222157,0.0003668070966351426,0.0002928066955030985,0.00040712221643549214,0.00023014109764375965
14,1.0535433016212667e-05,1.0925411487414654e-06,6.548215197787117e-06,6.304857779431612e-07,1.133169900015887e-07,1.5008031548082956e-07,1.670587675155897e-07,1.1853396305488988e-06
15,0.003456117814400871,0.005009665347362533,0.0067987705898287605,0.0028651795692849016,0.003278827105695969,0.0020636043378614065,0.005879800381478696,0.001210083595336607
16,0.004682070378675689,0.0030379927542671017,0.002583098574074444,0.002051726818582635,0.0015983361439724088,0.0019947174730557057,0.0010653337604469156,0.00075491317720583
17,0.007958342154176271,0.008107565774618958,0.006171692823914357,0.0046918229651418284,0.003389084536967515,0.0074316770619797185,0.004604056103345895,0.002435724773324169
18,0.00036675701523497983,0.00040533276618308367,0.00035291433487021095,0.00015913461035285388,0.00015025832874210663,0.0002644415158772217,0.00018944464236267874,8.271448109424035e-05
19,0.008932559842498996,0.010314316804885261,0.007335379593142157,0.005921018037819815,0.004373582546101318,0.007217362371473094,0.005681585153821448,0.004236292713991401
20,0.004185665564205903,0.005550655306181015,0.004429867581302985,0.0025296350382635513,0.001890580661186506,0.0025384584560427513,0.0013524242524224565,0.0008735953077145385
21,0.0058270860281318376,0.007893063529082717,0.006965922398824906,0.004399655855642968,0.004001109599966095,0.009095017198453752,0.008460691280827042,0.003575354744370026
22,0.0035052005376293442,0.004328830121505143,0.0038670657171984394,0.0027747679087278525,0.002920405466320944,0.00385346218028578,0.003208530688904416,0.003732967873369575
23,0.0008186651184951138,0.0011189442265027176,0.0013530680456059064,0.0012245294779212076,0.0009413242359431974,0.0006963726638310492,0.00047503160543057937,0.0002845555950586451
24,0.011145000775903654,0.0130212695910837,0.010943101524217713,0.005871335758517894,0.003248798103345548,0.000764359046743865,0.005066808889364078,0.002823701251148205
