Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,1772,6888,16691,5156,10712,10084,27348,41434,30828,40737,43996,56234
India,550,2665,1500,1171,4372,5144,9275,14147,12478,18534,31006,36982
Saudi Arabia,0,0,0,0,0,0,0,178,813,5323,5650,8091
Pakistan,87,2979,4817,408,2489,3013,5690,11320,14962,13002,4554,3479
United Arab Emirates,0,0,0,0,12,17,5213,10252,1025,264,581,2929
Türkiye,18,9,59,0,72,0,0,0,33,207,236,1668
"Iran, Islamic Republic of",281,1126,1895,393,436,868,3831,2099,698,2398,766,1159
Tajikistan,139,0,0,0,0,0,247,210,112,105,326,494
Spain,0,0,90,0,190,630,150,311,0,44,17,353
United States of America,0,0,0,1365,166,0,33,86,4,76,68,335
Bangladesh,0,0,0,0,0,0,245,619,133,0,0,310
Kuwait,0,0,0,0,0,0,0,0,0,1,44,76
Germany,1,0,0,57,102,0,32,96,49,64,61,64
Canada,0,0,1,1,15,0,12,0,16,45,34,44
Morocco,0,0,0,0,0,0,0,0,0,0,0,32
Australia,0,0,0,0,3,0,24,0,35,21,23,30
Viet Nam,0,0,0,0,0,0,0,0,0,0,1,28
Iraq,697,109,439,932,241,74,1135,1315,411,587,512,25
Uzbekistan,0,0,0,0,0,6,0,0,5,8,14,20
Singapore,0,0,0,0,0,0,454,204,0,0,0,19
Sweden,0,0,2,800,0,0,0,64,7,5,2,19
United Kingdom,0,0,0,10,0,0,0,0,0,3,2,17
Austria,0,0,0,0,0,0,0,0,0,6,6,10
China,0,0,17,18,0,32,0,336,0,0,5,9
Kazakhstan,0,0,0,0,0,0,0,0,30,0,0,8
Egypt,0,0,0,0,0,0,0,0,2,0,0,8
Eswatini,0,0,0,0,0,0,0,0,0,0,0,5
Poland,0,0,0,0,0,0,0,0,0,8,1,4
Switzerland,0,0,0,0,0,0,0,0,0,1,1,4
France,0,0,41,0,200,0,1003,67,4,0,5,3
Thailand,0,0,0,0,0,0,0,0,0,0,0,3
Ukraine,0,0,0,0,0,0,0,0,0,0,0,3
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,2
Netherlands,0,0,7800,0,0,0,5,108,3,3,12,1
Turkmenistan,0,0,31,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,4,0,0
Belgium,0,0,0,0,0,0,0,0,3,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,2,0
Italy,0,0,0,0,2389,300,0,24,3,0,0,0
Côte d'Ivoire,0,0,0,0,14,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,3,0,2,0
Jordan,0,0,0,0,0,0,0,0,0,26,26,0
Norway,0,0,0,0,10,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,11,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,2,0
Yemen,0,0,0,0,0,0,0,0,0,0,26,0
HHI,0.250414958,0.281985935,0.393624167,0.17605292,0.356951449,0.402194186,0.281070809,0.348363108,0.534782783,0.462012152,0.662693243,0.611513242
