Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
World,333,0,3,6,2,441,21,50,7,5,5,204,31,18,12,316,4113,3905
Thailand,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,273,4109,3514
China,0,0,0,0,0,0,0,3,4,5,0,0,1,3,3,36,3,220
Singapore,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,170
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,7,0,1
Australia,0,0,2,6,2,1,11,41,3,0,5,0,26,10,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fiji,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Hong Kong, China",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Indonesia,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taipei, Chinese",0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,5,6,0,0,0,0,2,0,0,0,0,0
HHI,0.978792108,0,0.130590976,1,1,0.992266817,0.215918603,0.599912494,0.024510411,1,1,0.976861088,0.684847078,0.155570384,0.556239444,0.696402666,0.997699678,0.805368422
