Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,485,369,228,409,327,208,477,528
China,348,265,129,378,261,164,379,391
"Tanzania, United Republic of",4,1,0,0,0,0,2,37
South Africa,16,11,10,10,24,20,67,21
Kenya,0,2,0,0,0,4,20,17
Lebanon,5,0,0,0,0,0,0,14
United Arab Emirates,57,19,7,8,5,1,1,14
United States of America,5,9,0,2,0,0,1,14
"Taipei, Chinese",0,0,9,1,0,1,0,10
Belgium,12,4,34,0,19,1,0,2
Uganda,1,6,6,4,0,0,2,2
Burundi,0,0,0,0,0,0,0,1
Denmark,0,0,0,0,0,0,0,1
France,1,1,2,3,0,0,0,1
Spain,12,0,0,0,0,0,0,1
Türkiye,0,5,0,0,3,0,0,1
Germany,0,0,3,0,0,0,0,0
"Hong Kong, China",1,0,0,0,0,0,0,0
Indonesia,0,1,0,0,0,0,0,0
Italy,6,12,1,0,0,0,0,0
Japan,0,0,0,0,8,0,0,0
Namibia,0,2,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,2,0
India,2,0,1,0,0,1,1,0
Sweden,2,0,0,0,0,0,0,0
Togo,0,0,1,0,0,0,0,0
Egypt,0,23,21,0,0,0,0,0
United Kingdom,1,0,0,0,1,2,0,0
Zambia,10,7,3,2,4,13,1,0
HHI,0.639066209,0.629474405,0.442362218,0.883742156,0.697275233,0.695659158,0.71920676,0.659316906
