Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,0,12,30,104,4,87,5144,12580,10575,52093,34845,26151,46648,75253,82318,66147,52877,50773,55942
Viet Nam,0,0,0,2,0,0,0,0,4,61,47,19532,22214,36218,40900,57992,50390,52487,48899,53667
China,0,0,0,0,0,0,0,0,0,0,11,1758,0,2081,4412,22041,8604,15,187,1066
United States of America,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,389,36,1157,925
"Korea, Republic of",0,0,0,0,0,0,0,0,0,3,0,16,50,8,30,110,256,124,284,91
France,0,0,12,28,98,2,86,20,2,15,1,0,1,588,25,1321,44,45,140,69
Italy,0,0,0,0,0,0,0,0,0,0,1320,0,1193,41,138,0,0,37,0,54
Spain,0,0,0,0,0,0,0,0,0,33,1341,0,0,48,0,49,87,97,49,34
"Taipei, Chinese",0,0,0,0,0,0,0,3,0,0,0,14,9,19,18,48,0,20,15,16
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,5,4,4
Japan,0,0,0,1,6,2,1,7,29,0,2,20,68,21,10,0,35,7,35,3
Belgium,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1
United Kingdom,0,0,0,0,0,0,0,4547,12546,10116,18282,0,0,0,0,1,1,0,0,0
Australia,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,181,20867,8937,7,5196,14181,0,6160,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14079,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,298,0,970,0,0,16,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,68,282,379,7,0,1,1,0
Greece,0,0,0,0,0,0,0,0,0,165,2876,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,150,0,0,0
Malaysia,0,0,0,0,0,0,0,2,0,0,589,0,0,0,0,2,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,103,0,0,1,20,19,7,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,98,0,0,374,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,8,0,0,0,0,0,3,6,5,6,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Thailand,0,0,0,0,0,0,0,545,0,0,6188,4257,2538,0,1039,721,0,0,0,0
HHI,0,0,1,0.849295524,0.809050313,0,0.96098432,0.835423022,0.99460005,0.930710776,0.385583615,0.445750543,0.789701668,0.717720067,0.477222398,0.653994685,0.69762865,0.989638817,0.947584224,0.944188023
