Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Total,189,116,96,107,1291,877,652,722,1090,869,1644,1279,1378,247,365,575,660,4428,2702,3432
China,66,0,0,0,48,0,1,0,0,16,53,10,247,11,292,224,550,4323,2544,2920
United Arab Emirates,0,0,16,0,94,11,0,0,0,0,0,0,0,0,62,337,96,94,142,395
India,11,0,71,0,56,0,0,0,0,0,276,0,0,0,0,0,0,0,8,39
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
France,12,10,6,18,19,12,10,8,3,2,131,8,4,7,10,10,6,8,6,19
Türkiye,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,1,18
Saudi Arabia,0,0,0,0,0,0,0,0,138,49,0,0,0,0,0,0,8,0,0,2
Belgium,0,0,0,0,0,0,0,0,0,0,0,60,1,2,0,0,0,0,1,0
Germany,69,81,1,78,707,52,6,0,0,0,0,0,0,0,0,3,0,0,0,0
Italy,0,11,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Senegal,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,0,365,801,629,711,949,802,1154,1176,1120,103,0,0,0,0,0,0
Cameroon,0,0,0,0,2,0,0,0,0,0,28,24,0,0,0,0,0,0,0,0
Syrian Arab Republic,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.164411612,0.44024869,0.5677508,0.504759967,0.39456589,0.847052032,0.9365665,0.964120746,0.715612261,0.849613959,0.538733389,0.866346404,0.696662662,0.375540821,0.63659593,0.464499726,0.692135973,0.953039881,0.903672055,0.772922249
