Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,71525,80296,102879,92496,165575,151837,191245,326963,247609,94012,31124,43302,85876,178417,243006,139885,120909,184070
Brazil,22672,19256,39138,58903,117622,113078,138522,224212,154983,23914,3786,7013,31194,125989,201766,122982,101136,145700
India,0,103,100,987,1940,1994,3238,9786,8157,6298,3022,2511,9685,5488,9177,3795,5109,11540
Morocco,0,0,0,0,56,22,155,57,0,6,0,0,0,0,267,0,1750,6305
Portugal,11806,28584,16376,7349,10630,8448,12116,18101,13904,9600,3064,6526,7569,10415,7431,2974,2629,5614
Namibia,0,0,20,931,5788,1402,1898,2592,2018,2023,260,395,2,23,206,113,249,3231
Colombia,0,0,0,79,1519,4823,6345,18212,15238,15321,3207,483,915,1128,1808,597,585,3156
South Africa,15821,18214,30190,12801,6466,4552,11227,17598,16856,9409,7151,4813,8315,10969,6187,2184,5143,2339
Türkiye,450,610,48,516,325,205,104,1121,1389,1370,404,155,87,856,1235,1112,692,1669
Pakistan,322,988,114,259,421,5,2,1393,3750,4634,3396,1056,3519,1686,848,203,871,991
Belgium,11,2418,7658,129,264,879,196,1474,776,379,146,186,182,1056,1327,82,224,821
Viet Nam,0,0,0,53,128,135,102,422,450,767,440,101,290,164,474,388,236,601
France,658,375,845,238,161,1168,560,695,342,87,45,166,386,907,1157,249,628,560
China,106,1696,199,2132,7655,6931,10265,19447,12568,12468,4521,2647,7583,6185,2337,969,1260,511
Netherlands,232,3132,79,349,59,51,92,490,323,18,12,0,17,1140,177,4,1,255
United States of America,4020,540,2913,1066,878,640,653,467,96,94,42,18,80,11,23,3,4,196
Argentina,0,238,2098,2199,6491,4838,3572,4801,887,618,56,56,163,167,49,78,48,130
United Arab Emirates,1105,2796,26,42,70,1139,270,577,4480,338,64,128,32,166,2,17,27,92
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
Spain,965,1,306,411,70,142,175,595,654,485,3,89,208,114,141,94,114,70
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,64
Saudi Arabia,0,0,0,0,16,0,6,38,122,102,45,16304,7496,0,0,0,0,58
Germany,9024,588,0,276,13,29,32,63,268,41,8,17,49,7603,478,111,4,21
Egypt,0,461,0,39,0,44,43,104,239,0,49,0,1,46,30,0,24,12
"Hong Kong, China",0,0,0,205,19,0,65,30,45,0,51,0,116,0,0,0,0,9
Italy,5,2,3,57,50,211,8,66,246,20,5,6,3,2,11,2,11,9
Congo,0,11,0,0,143,3,1,0,0,3,3,0,0,0,2,3,3,8
Greece,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8
Lebanon,928,0,0,2,418,21,411,321,571,34,50,31,13,185,244,2,4,7
Gibraltar,0,0,1816,6,17,12,0,0,0,0,0,0,0,0,0,0,0,5
Bangladesh,0,0,0,11,1,0,0,2,36,1,55,32,0,0,0,0,0,4
Switzerland,9,0,597,0,2933,0,22,1658,0,1,0,0,0,0,504,1,0,4
Poland,0,0,0,31,0,0,17,0,1822,1091,817,312,0,2,3,42,11,2
