Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1,8,15,75,55,447,8,140
Burundi,0,0,0,0,0,356,0,48
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,40
Rwanda,1,0,0,0,0,0,0,23
Zimbabwe,0,0,0,0,42,0,0,20
Kenya,0,0,0,0,0,0,0,5
Uganda,0,0,10,32,7,13,8,3
France,0,0,1,9,0,0,0,1
Angola,0,0,4,15,0,0,0,0
Cameroon,0,0,0,16,0,0,0,0
Congo,0,0,0,3,5,0,0,0
South Africa,0,0,0,0,0,19,0,0
United Arab Emirates,0,0,0,0,0,0,0,0
Zambia,0,8,0,0,0,58,0,0
HHI,1,1,0.340139779,0.154283376,0.478265683,0.617126284,1,0.193558397
