Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,0,0,0,0,0,0,41862,16823,15819
Pakistan,0,0,0,0,0,0,0,0,0,31950,13745,14830
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,8413,2508,317
Canada,0,0,0,0,0,0,0,0,0,22,83,203
China,0,0,0,0,0,0,0,0,0,0,0,166
Uzbekistan,0,0,0,0,0,0,0,0,0,1297,398,113
Kazakhstan,0,0,0,0,0,0,0,0,0,92,0,87
United States of America,0,0,0,0,0,0,0,0,0,14,12,51
Türkiye,0,0,0,0,0,0,0,0,0,0,38,17
Italy,0,0,0,0,0,0,0,0,0,9,10,15
India,0,0,0,0,0,0,0,0,0,11,14,14
Thailand,0,0,0,0,0,0,0,0,0,16,4,7
Belgium,0,0,0,0,0,0,0,0,0,24,0,0
Netherlands,0,0,0,0,0,0,0,0,0,10,9,0
Aruba,0,0,0,0,0,0,0,0,0,0,1,0
South Africa,0,0,0,0,0,0,0,0,0,0,1,0
Spain,0,0,0,0,0,0,0,0,0,5,0,0
HHI,0,0,0,0,0,0,0,0,0,0.704564935,0.762248971,0.911081446
