Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,3656,1430,1570,1854,2031,1224,1882,2068
Argentina,3217,1152,898,807,1634,919,852,1204
Brazil,53,55,33,92,89,100,245,346
India,19,0,22,0,0,27,59,175
Uruguay,0,0,0,0,0,0,0,170
Türkiye,33,0,0,149,42,61,387,91
Belgium,97,25,32,84,78,75,278,36
Ukraine,0,159,264,430,171,1,18,22
Germany,0,0,0,0,0,0,0,21
Angola,0,0,0,0,0,0,0,1
Poland,0,0,0,0,0,15,0,1
China,20,0,1,0,1,0,0,0
France,8,0,1,1,0,0,0,0
Italy,0,0,3,0,1,0,0,0
Kenya,0,2,0,0,0,0,0,0
Namibia,36,0,0,0,0,0,0,0
Netherlands,49,0,95,64,1,0,18,0
Nigeria,2,5,0,0,0,0,0,0
Portugal,32,0,0,0,0,0,0,0
South Africa,53,26,88,95,15,13,12,0
Switzerland,0,0,1,0,0,0,0,0
Uganda,3,3,0,3,0,0,0,0
United Kingdom,0,0,131,130,0,10,11,0
United States of America,30,1,0,0,0,0,0,0
Zambia,4,0,0,0,0,3,4,0
HHI,0.839422297,0.721814111,0.449597444,0.287486676,0.716975313,0.64887333,0.321338817,0.442997285
