Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,136,245,88,39,0,0,2,254
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,128
South Africa,0,0,0,0,0,0,0,57
Rwanda,0,0,0,0,0,0,0,24
Mauritius,0,0,0,0,0,0,0,20
United Kingdom,0,0,0,0,0,0,0,8
Belgium,7,115,0,0,0,0,2,7
Poland,0,0,0,0,0,0,0,7
Kenya,0,0,0,0,0,0,0,5
Angola,0,0,0,0,0,0,0,0
Burundi,0,5,0,0,0,0,0,0
China,0,7,0,0,0,0,0,0
New Caledonia,8,0,0,0,0,0,0,0
Viet Nam,8,0,0,0,0,0,0,0
Uganda,113,118,88,39,0,0,0,0
HHI,0.673242506,0.3468893,1,1,0,0,1,0.331342694
