Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,13130,19046,15071,20003,33248,26446,17726,43275,60451,54463,51603,29069,33069,57440,31593,42236,65526,21731,13009,20476
India,2559,4422,3030,6315,11464,14856,9151,23621,32985,20458,26236,7387,15643,41232,12030,26139,46455,7137,2422,6603
China,115,299,275,454,836,1277,311,792,1077,10856,11950,3830,4544,4483,6147,3660,4292,3351,3358,3803
United Arab Emirates,29,62,292,145,174,413,725,2067,9847,10780,1301,2149,2419,2879,2410,4043,5733,3947,911,1915
Belgium,125,570,31,88,36,15,38,42,78,50,34,17,94,92,9,411,427,210,474,1577
United Kingdom,3679,2006,2429,3200,6887,2427,2320,3981,4781,4045,5244,6833,2971,1385,1897,2340,2025,1559,1551,1443
Kenya,247,299,183,225,212,220,2012,141,327,911,172,947,1165,1038,1912,845,1732,1594,390,1158
Saudi Arabia,48,43,31,42,33,25,33,51,22,57,3,20,22,72,10,8,70,2,87,970
United States of America,3186,5932,6101,6343,9416,3339,919,1865,2580,2064,2829,1641,2133,2453,1973,1270,1451,1364,979,635
Egypt,31,50,89,69,134,116,67,310,828,263,249,687,475,988,656,720,729,824,581,631
Sri Lanka,10,0,14,9,4,1,0,4,0,0,0,0,134,0,1,15,0,0,128,550
France,157,2430,409,308,402,278,134,90,114,120,134,155,96,136,40,205,176,246,191,271
Germany,1354,273,366,436,560,1925,437,861,431,1227,268,557,484,328,317,632,277,406,258,262
"Korea, Republic of",5,78,39,83,413,279,179,221,1630,724,897,1038,1054,470,2271,261,214,141,90,142
Czech Republic,0,0,0,0,2,0,5,2,4,1,1,6,0,0,1,1,3,0,0,88
Italy,235,261,266,434,716,268,171,127,50,562,445,216,95,504,274,498,110,52,58,72
"Taipei, Chinese",0,2,1,0,1,0,44,293,217,316,311,42,0,0,2,4,10,1,4,68
Israel,0,4,15,57,5,0,1,40,1,11,1,24,3,14,260,114,1,248,107,56
Viet Nam,0,0,0,0,0,0,0,2,1,0,6,1,11,13,1,8,2,0,2,25
Poland,0,0,2,0,2,0,0,0,1,3,19,0,0,0,2,1,0,41,5,22
Netherlands,44,253,105,251,257,113,432,89,69,85,92,45,86,57,257,52,99,33,24,16
Bulgaria,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,41,0,0,0,15
Canada,96,25,51,16,329,63,21,46,67,2,90,58,116,400,446,101,58,42,19,15
Qatar,0,0,1,0,1,1,0,2,1,0,1,0,0,0,1,0,2,6,13,12
South Africa,10,1176,75,80,63,151,29,403,123,94,64,210,34,128,114,220,69,74,92,12
Uganda,6,1,4,4,0,0,0,8,3,6,0,1,0,17,9,5,0,11,2,12
Japan,367,71,145,156,280,103,115,45,63,99,42,454,111,69,104,126,196,16,15,11
Switzerland,116,37,95,224,81,28,39,165,68,67,48,63,33,69,29,21,31,42,51,11
Türkiye,5,3,55,2,8,17,9,14,49,13,213,53,43,41,25,33,192,181,87,11
Spain,1,1,28,5,168,2,17,5,5,95,0,7,1,129,17,26,9,6,1,7
Bangladesh,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,1,0,0,1,6
Denmark,3,70,198,6,5,9,14,51,8,20,10,91,2,13,5,8,34,7,72,6
Ireland,0,11,33,26,4,4,0,0,3,2,12,7,9,1,0,0,2,25,154,4
Malaysia,1,0,31,84,198,66,96,7320,4272,8,41,11,14,0,0,0,4,3,1,4
Nigeria,0,3,1,1,0,0,3,15,4,22,3,2,16,19,0,0,8,3,82,4
