Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,1440,0,0,0,0,0,0,0,0,166,187,1842
Pakistan,0,0,0,0,0,0,0,0,0,102,0,1672
United Kingdom,0,0,0,0,0,0,0,0,0,34,72,76
Türkiye,0,0,0,0,0,0,0,0,0,0,0,49
Uzbekistan,1285,0,0,0,0,0,0,0,0,0,6,34
India,0,0,0,0,0,0,0,0,0,11,61,10
Tajikistan,156,0,0,0,0,0,0,0,0,17,11,1
Canada,0,0,0,0,0,0,0,0,0,0,25,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,1,12,0
HHI,0.65486717,0,0,0,0,0,0,0,0,0.383322073,0.206122086,0.846623684
